#,Word 1,Word 2,Pos,Frq,Type,Level,s1,r1,s2,r2,s3,r3,s4,r4,s5,r5,s6,r6,s7,r7,s8,r8,s9,r9,s10,r10,s11,r11
812,vaxshiyona,shafqatsiz,ADJ,1,syn,oov,8,9,9,10,8,9,8,8,6,9,9,9,8,9,8,10,7,8,7,9,8,9
813,xafahol,g'amgin,ADJ,1,syn,low,9,9,7,8,7,8,7,7,6,8,9,10,3,5,3,5,6,6,8,8,9,9
814,zehnli,aqlli,ADJ,1,syn,low,7,8,9,10,8,9,8,8,9,8,9,10,8,9,6,9,7,9,8,6,8,9
815,dastlab,avval,ADJ,1915,syn,high,9,10,5,5,5,6,6,9,6,7,10,10,3,5,2,5,4,5,9,8,8,9
816,biroz,ozgina,ADJ,1703,syn,high,9,9,6,7,6,7,6,7,8,8,8,9,6,6,7,9,8,9,6,8,3,9
817,oldingi,avalgi,ADJ,1432,syn,high,9,10,6,7,5,7,6,6,4,6,8,9,3,4,4,8,6,7,4,2,8,9
818,mamlakat,davlat,NOUN,53187,syn,high,9,10,10,10,6,9,7,9,9,10,8,9,8,9,8,9,9,10,8,8,6,7
819,soha,yo'nalish,NOUN,31050,syn,high,8,9,8,9,8,9,8,8,7,8,8,8,8,9,7,9,8,9,8,10,7,8
820,jamiyat,davlat,NOUN,24655,syn,high,9,10,7,10,5,9,5,7,6,9,6,7,10,10,6,10,4,8,6,10,6,10
821,talaba,o'quvchi,NOUN,14054,syn,high,8,9,9,10,8,8,8,8,9,10,7,9,7,9,9,10,8,9,7,8,6,8
822,muassasa,tashkilot,NOUN,12736,syn,high,8,10,9,10,8,9,7,8,9,10,9,10,8,9,10,10,7,9,8,6,7,8
823,narsa,buyum,NOUN,10032,syn,high,10,10,9,10,9,9,8,9,9,10,8,10,8,10,10,10,9,9,9,7,8,9
824,maydon,joy,NOUN,9471,syn,high,7,9,6,6,5,7,6,7,6,8,7,7,8,10,4,5,4,6,8,8,6,8
825,taraqqiyot,rivojlanish,VERB,8787,syn,high,8,10,8,10,8,9,9,9,9,10,10,10,9,9,9,10,7,9,8,8,9,9
826,ishtirokchi,qatnashuvchi,NOUN,8444,syn,high,8,9,9,10,9,10,9,9,8,8,8,9,9,9,10,10,9,9,8,6,8,9
827,shartnoma,kelishuv,VERB,7783,syn,high,9,10,7,8,8,8,6,9,6,8,9,9,6,8,4,7,7,7,9,8,4,7
828,boshqarma,vazirklik,NOUN,7149,syn,high,6,9,7,8,6,7,7,9,6,8,8,8,9,9,7,10,6,7,5,8,4,7
829,resurs,manba,NOUN,6913,syn,high,8,10,10,10,9,10,8,8,9,10,9,10,9,9,10,10,9,10,6,7,8,9
830,komissiya,nazoratchi,NOUN,6628,syn,high,8,10,5,6,4,5,3,4,3,4,8,8,3,5,2,4,2,9,3,5,4,9
831,poytaxt,markaz,NOUN,6556,syn,high,9,10,7,8,6,8,5,7,4,5,3,5,3,6,4,6,3,4,8,9,8,9
832,tehnika,qurilma,NOUN,6420,syn,oov2,9,10,5,8,6,7,3,6,3,5,8,10,7,9,2,4,0,3,8,8,7,8
833,muhokama,munozara,NOUN,6267,syn,high,9,10,9,10,6,8,7,8,6,9,8,9,7,8,6,8,8,9,6,4,8,9
834,anjuman,yig'ilish,VERB,6047,syn,high,7,9,6,7,7,8,8,10,6,7,8,8,8,9,8,10,6,7,8,6,5,8
835,xukumat,davlat,NOUN,5803,syn,oov2,8,10,9,9,5,6,8,9,8,9,7,8,8,9,8,10,3,4,8,6,8,9
836,barpo,bunyod,NOUN,5687,syn,high,8,9,7,8,8,8,4,6,6,6,10,10,8,9,4,6,8,8,2,2,8,8
837,film,kino,NOUN,5664,syn,high,10,10,9,10,7,8,9,10,9,8,8,10,9,10,9,10,8,9,8,8,3,6
838,jamoatchilik,aholi,NOUN,5518,syn,high,8,10,5,6,4,7,8,10,6,8,4,9,3,5,3,5,4,7,0,2,4,6
839,ko'rsatkich,natija,NOUN,5464,syn,high,8,9,6,7,6,8,4,6,6,7,8,9,6,7,6,9,6,8,8,8,5,7
840,uyushma,tashkilot,NOUN,5246,syn,high,9,10,7,8,7,8,6,8,8,9,10,8,8,9,9,10,6,7,7,9,5,8
841,istiqlol,mustaqillik,NOUN,5096,syn,high,9,10,10,10,6,7,6,8,6,6,9,9,8,9,6,9,8,9,9,9,8,8
842,vaziyat,holat,NOUN,4773,syn,high,8,9,8,9,8,9,8,9,8,10,7,8,9,10,10,10,9,10,4,4,6,8
843,moliya,iqtisod,NOUN,4770,syn,high,7,9,6,8,4,7,8,8,4,7,6,6,3,6,4,7,4,6,8,6,8,9
844,tarona,musiqa,NOUN,4641,syn,high,7,10,10,10,7,8,10,10,9,10,9,10,7,10,10,10,3,5,8,9,8,8
845,fond,jamg'arma,NOUN,4603,syn,high,7,9,9,9,9,9,9,10,9,9,8,8,9,9,10,10,8,9,5,5,8,9
846,boshliq,rahbar,NOUN,4490,syn,high,9,10,10,10,8,7,6,8,9,9,8,9,8,9,7,10,8,8,8,8,3,8
847,yagona,yolg'iz,NOUN,4434,syn,high,9,10,10,10,7,8,8,7,6,9,9,10,7,8,2,5,4,6,8,10,9,10
848,avtomobil,mashina,NOUN,4364,syn,high,8,10,9,10,9,9,9,10,10,10,8,9,10,10,9,10,9,10,8,4,7,8
849,mintaqa,xudud,NOUN,4352,syn,high,8,9,6,6,7,8,8,9,5,6,8,9,8,9,6,8,6,7,7,6,7,9
850,ehtiyoj,zarurat,NOUN,4214,syn,high,9,9,10,10,6,8,9,9,8,10,9,10,8,10,6,9,4,5,8,6,8,9
851,maxkama,idora,NOUN,4196,syn,oov2,9,9,8,8,7,9,8,8,6,7,7,9,6,8,9,10,6,7,8,8,6,8
852,farovonlik,tinchlik,NOUN,4149,syn,high,9,9,8,10,8,9,9,10,9,10,9,9,9,10,7,10,9,10,8,9,9,9
853,muloqot,suhbat,NOUN,4085,syn,high,9,10,8,8,7,9,7,9,7,9,8,9,7,8,6,9,3,5,6,8,9,9
854,energiya,kuch,NOUN,4079,syn,high,7,9,5,8,6,7,6,7,6,8,8,8,5,7,4,7,5,7,4,6,7,9
855,tijorat,savdo,NOUN,3901,syn,high,7,9,10,10,9,10,9,10,8,9,8,8,9,10,10,10,10,10,9,10,8,9
856,xotira,yod,NOUN,3808,syn,high,7,9,7,9,7,8,7,7,8,9,8,10,9,9,6,7,7,8,8,8,3,6
857,marosim,tadbir,NOUN,3741,syn,high,7,9,6,8,5,7,6,8,8,9,8,9,8,8,6,9,7,8,8,6,3,8
858,erkinlik,mustaqillik,NOUN,3698,syn,high,8,10,7,9,5,6,5,8,8,7,8,9,6,8,8,10,8,8,7,8,9,9
859,mijoz,xaridor,NOUN,3654,syn,high,9,10,10,10,9,9,10,10,9,9,8,8,9,10,10,10,10,10,9,10,9,9
860,narx,baho,NOUN,3645,syn,high,10,10,9,10,10,10,9,9,8,8,9,9,9,10,8,10,9,10,8,7,6,7
861,xonanda,qo'shiqchi,NOUN,3609,syn,high,8,10,9,10,8,7,10,10,9,8,8,8,5,8,10,10,6,8,8,9,3,6
862,maskan,joy,NOUN,3562,syn,high,8,9,7,8,6,7,5,7,6,8,8,9,7,8,4,7,5,6,6,7,6,8
863,inshoot,bino,NOUN,3458,syn,high,9,10,9,10,7,9,8,9,6,8,8,9,9,9,8,9,8,10,5,8,8,9
864,kamchilik,nuqson,NOUN,3418,syn,high,9,9,6,8,7,8,7,8,6,7,9,9,9,10,3,5,4,6,6,8,6,8
865,konferensiya,anjuman,NOUN,3381,syn,high,8,10,10,10,9,9,9,9,7,9,8,10,7,9,9,10,8,10,8,8,7,9
866,tasavvur,xayol,NOUN,3362,syn,high,8,9,7,8,8,7,7,7,6,8,7,8,9,10,4,6,8,9,6,4,8,8
867,tamoyil,yondashuv,NOUN,3311,syn,high,7,8,8,9,8,9,8,10,8,8,6,6,8,10,9,10,8,9,6,6,6,8
868,kommunikatsiya,aloqa,NOUN,3306,syn,high,8,10,8,9,8,8,9,9,7,8,7,8,4,10,7,10,3,5,2,9,8,9
869,takomillashtirish,rivojlanish,VERB,3265,syn,high,8,9,9,9,8,9,9,9,8,8,7,7,7,9,4,6,6,7,8,6,8,9
870,hodisa,voqea,NOUN,3159,syn,high,9,9,10,10,9,9,8,8,9,10,7,7,9,10,8,10,8,9,7,8,8,8
871,darslik,manba,NOUN,3110,syn,high,7,9,3,6,3,6,6,8,5,9,6,10,4,8,3,6,3,5,8,6,3,5
872,matn,yozuv,NOUN,3087,syn,high,7,9,8,10,6,8,9,10,6,9,7,7,7,8,4,6,6,7,7,8,5,8
873,urush,jang,NOUN,2998,syn,high,9,9,7,10,9,9,7,8,9,10,7,8,4,7,3,8,8,10,9,10,6,8
874,ahvol,holat,NOUN,2931,syn,high,8,9,7,8,8,7,8,9,9,9,8,9,8,9,6,9,9,10,8,8,8,9
875,boylik,mulk,NOUN,2799,syn,high,8,9,8,10,4,8,7,8,8,8,7,9,7,10,4,8,7,9,6,10,8,9
876,birlashma,uyushma,NOUN,2698,syn,high,6,9,9,9,6,7,9,9,9,10,9,9,6,7,9,10,6,8,4,6,8,9
877,qatnashchi,ishtirokchi,NOUN,2654,syn,high,8,9,9,9,8,9,10,10,9,10,9,10,5,8,6,7,9,10,9,10,3,6
878,oziq-ovqat,yegulik,NOUN,2589,syn,high,8,10,8,9,7,8,8,8,9,10,9,9,7,9,4,9,4,6,6,8,9,9
879,to'plam,uyum,NOUN,2573,syn,high,7,9,9,9,7,8,6,7,8,8,8,9,10,10,5,7,2,6,4,6,3,8
880,honadon,hovli,NOUN,2513,syn,oov2,9,10,9,10,7,8,9,9,8,9,8,10,8,10,9,10,10,10,6,8,8,9
881,buyum,narsa,NOUN,2488,syn,high,10,10,7,9,8,10,9,9,8,9,8,9,9,10,9,10,8,8,3,8,9,9
882,majburiyat,burch,NOUN,2476,syn,high,7,10,8,9,8,8,6,7,5,6,8,9,9,10,4,6,6,7,8,6,6,6
883,ulush,qism,NOUN,2458,syn,high,9,9,3,4,5,7,3,5,3,5,8,8,3,5,3,5,2,4,5,7,4,6
884,toifa,tur,NOUN,2399,syn,high,9,10,8,8,6,7,6,7,6,7,9,9,4,6,8,9,4,5,6,7,6,8
885,ko'nikma,tajriba,NOUN,2396,syn,high,9,10,9,10,8,9,9,8,9,10,10,10,9,9,6,9,8,8,6,7,7,9
886,tafakkur,fikr,NOUN,2266,syn,high,8,9,7,7,5,7,6,8,5,8,7,7,10,10,7,8,4,5,0,2,8,9
887,saroy,qasr,NOUN,2214,syn,high,7,10,8,9,7,9,8,9,8,8,9,9,5,7,9,10,7,8,3,7,8,9
888,saviya,martaba,NOUN,2205,syn,high,6,9,8,8,6,9,6,6,6,6,7,8,8,9,3,5,8,9,4,8,6,8
889,doimo,muntazam,NOUN,2180,syn,high,9,10,5,7,6,5,6,7,5,7,8,9,6,8,4,6,4,5,3,8,6,8
890,bunyodkorlik,qurilish,VERB,2173,syn,high,7,10,8,9,8,9,6,7,7,8,7,8,8,9,4,7,6,7,6,8,7,8
891,noyob,kamyob,NOUN,2102,syn,high,9,10,7,9,8,8,8,9,9,10,8,9,9,10,5,10,6,10,8,8,8,9
892,jadval,reja,NOUN,2037,syn,high,6,9,8,8,7,8,8,9,9,9,7,7,4,5,6,9,6,7,9,6,8,9
893,g'amxo'rlik,qayg'urish,VERB,2034,syn,high,9,9,7,8,7,8,8,9,5,7,10,10,5,6,3,6,3,4,9,8,8,9
894,yo'llanma,yo'riqnoma,NOUN,1915,syn,high,6,9,6,7,5,7,7,6,5,8,5,7,5,6,3,4,4,6,8,7,4,5
895,xamyurt,yurtdosh,NOUN,1909,syn,oov2,9,10,10,10,9,9,10,10,10,9,8,9,9,10,9,10,9,10,8,8,8,9
896,organizm,jism,NOUN,1890,syn,high,7,9,8,9,5,7,5,7,2,8,8,9,6,7,4,5,4,5,2,6,3,5
897,tahsil,ta'lim,NOUN,1873,syn,high,8,9,10,10,5,9,8,10,9,9,8,9,8,9,7,9,8,9,2,2,8,9
898,maishiy,xo'jalik,NOUN,1852,syn,high,7,9,6,7,4,6,6,7,2,8,5,7,4,8,1,7,0,4,1,4,2,5
899,faxriy,martabali,NOUN,1804,syn,high,8,10,5,6,5,7,5,8,6,7,8,8,3,4,3,5,4,6,6,7,8,9
900,hamjamiyat,hukumati,NOUN,1791,syn,high,6,9,4,6,4,6,4,6,3,5,1,5,8,9,2,5,1,5,1,5,3,5
901,raqs,o'yin,NOUN,1789,syn,high,9,10,6,9,4,7,4,6,4,6,6,9,3,5,3,7,4,6,8,7,6,6
902,insoniyat,odamzod,NOUN,1758,syn,high,9,10,10,10,8,9,8,9,8,9,7,7,9,10,9,10,9,10,8,9,9,9
903,dunyoqarash,tafakkur,NOUN,1757,syn,high,8,9,7,9,5,8,7,9,6,8,7,9,2,4,5,8,3,9,6,4,8,9
904,yoshlik,navqiron,NOUN,1640,syn,high,7,10,8,9,5,5,8,9,6,8,0,2,6,7,3,6,7,9,5,6,5,7
905,ijrochi,bajaruvchi,NOUN,1626,syn,high,7,9,7,7,8,9,6,8,6,7,8,9,9,9,8,9,9,9,4,6,7,9
906,yurtdosh,hamyurt,NOUN,1597,syn,high,9,10,10,10,8,9,9,10,8,10,9,10,8,10,9,10,8,9,4,8,6,8
907,mezon,nizom,NOUN,1561,syn,high,8,9,7,9,7,8,8,10,7,8,7,8,7,9,8,9,7,8,5,10,8,8
908,topshiriq,vazifa,NOUN,1554,syn,high,9,10,10,10,8,9,6,8,7,8,8,9,6,7,6,8,4,6,8,8,8,9
909,libos,kiyim,NOUN,1536,syn,high,10,10,6,8,6,7,6,8,5,8,7,6,10,10,4,6,4,8,8,7,9,10
910,sarmoya,mablag',NOUN,1535,syn,high,7,10,8,10,7,8,7,9,5,7,8,10,7,8,4,7,2,5,8,7,5,8
911,tinglovchi,eshituvchi,NOUN,1526,syn,high,9,10,9,10,9,9,6,8,8,9,7,7,8,10,9,10,9,10,8,8,6,9
912,okrug,xudud,NOUN,1524,syn,high,8,9,6,7,6,6,6,7,8,9,8,8,3,5,4,7,4,6,8,8,7,8
913,o'tmish,tarix,NOUN,1476,syn,high,7,9,9,10,8,9,9,10,7,9,9,9,9,9,7,9,8,9,9,7,6,8
915,timsol,ramz,NOUN,1425,syn,high,8,10,9,10,8,8,6,7,3,7,8,10,7,8,9,10,5,6,3,7,6,8
916,mag'lubiyat,yutqazish,VERB,1383,syn,high,9,10,9,9,7,9,8,8,8,8,9,9,6,8,9,10,7,9,6,8,9,10
917,vafot,o'lim,NOUN,1346,syn,high,10,10,9,9,9,10,10,10,9,10,8,9,9,10,9,10,9,9,8,8,9,10
918,mutasaddi,javobgar,NOUN,1343,syn,high,7,10,7,9,7,8,7,8,9,8,6,8,8,10,7,9,7,8,2,8,6,8
919,tushish,pastlash,VERB,1337,syn,high,8,10,6,8,6,8,8,7,0,8,5,8,8,9,3,6,8,8,7,9,6,8
920,shifohona,kasalxona,NOUN,1304,syn,oov2,10,10,10,10,10,10,9,9,8,9,9,9,9,9,9,10,9,10,8,8,6,6
921,asbob,uskuna,NOUN,1288,syn,high,10,10,8,10,6,7,3,6,6,8,7,8,7,10,7,9,8,9,8,8,5,8
922,ajratish,bo'laklash,NOUN,1268,syn,high,9,10,6,6,4,5,6,7,4,6,9,9,6,6,3,6,6,7,6,7,6,9
923,xastalik,kasallik,NOUN,1262,syn,high,10,10,10,10,9,8,8,8,8,9,8,9,10,5,9,10,4,6,7,9,8,9
924,tahdid,qo'rqitish,NOUN,1255,syn,high,8,10,8,8,7,8,5,6,6,6,7,8,4,6,7,10,9,9,8,7,7,8
925,sayyoh,sayohatchi,NOUN,1231,syn,high,8,10,4,9,4,9,9,9,9,9,8,10,8,10,10,10,8,10,9,10,3,7
926,obida,imorat,NOUN,1230,syn,high,7,10,7,9,6,6,4,5,4,6,7,8,3,5,4,7,3,7,3,7,5,8
927,xayriya,saxovat,NOUN,1193,syn,high,8,9,10,10,6,8,8,9,6,8,8,9,8,9,8,10,6,9,8,10,8,8
928,turizm,sayohat,NOUN,1175,syn,high,7,10,5,9,4,9,4,9,2,8,5,7,5,9,5,8,6,9,3,7,7,9
929,rusum,toifa,NOUN,1165,syn,high,8,10,8,8,8,9,5,6,4,6,8,8,4,5,4,5,4,5,7,6,8,9
930,kuzatuvchi,nazoratchi,NOUN,1150,syn,high,9,10,6,8,5,6,4,7,8,8,10,10,7,8,3,7,3,4,6,8,8,9
931,andoza,namuna,NOUN,1105,syn,high,10,10,10,10,7,9,8,10,10,10,8,9,9,10,4,7,6,6,8,4,8,9
932,ezgulik,yaxshilik,NOUN,1096,syn,high,9,10,8,9,7,9,7,8,8,9,8,9,7,8,7,9,8,9,9,8,8,9
933,iftixor,g'urur,NOUN,1038,syn,high,10,10,10,10,8,8,10,9,7,8,8,9,9,9,9,10,7,9,8,8,9,9
934,voxa,vodiy,NOUN,1023,syn,oov2,7,9,4,8,4,9,3,6,3,6,8,8,3,5,2,7,4,6,8,9,2,7
935,ashyo,buyum,NOUN,1015,syn,high,10,10,9,9,9,9,7,8,9,10,6,8,9,10,8,10,10,10,8,6,8,9
936,maktub,xat,NOUN,943,syn,high,9,10,10,10,8,9,8,9,8,10,8,8,6,8,10,10,9,10,9,8,9,9
937,bitim,kelishuv,VERB,923,syn,high,7,10,8,8,8,9,9,9,6,8,8,9,9,9,6,7,7,9,8,10,6,8
938,makon,joy,NOUN,889,syn,high,7,10,8,8,6,7,5,7,9,9,7,7,5,8,6,8,3,5,8,8,6,7
939,turar-joy,hovli,NOUN,770,syn,high,8,10,10,10,9,9,8,9,7,8,7,9,8,10,4,7,8,9,5,7,8,9
940,diyor,yurt,NOUN,738,syn,high,7,9,8,10,7,7,7,8,4,6,8,9,9,10,4,8,6,8,7,9,4,8
941,halokat,falokat,NOUN,728,syn,high,10,10,10,10,8,9,8,9,7,8,8,9,8,10,8,10,9,10,8,8,9,9
942,tavallud,tug'ilish,VERB,706,syn,high,9,10,5,8,6,7,10,10,7,9,9,9,8,9,7,9,6,8,7,9,6,7
943,sado,tovush,NOUN,675,syn,high,8,10,8,9,6,8,5,8,7,10,8,8,8,9,6,8,6,7,6,8,4,6
944,maqbara,sag'ana,NOUN,627,syn,high,7,9,5,9,4,6,4,7,4,6,7,7,7,9,4,5,4,5,6,8,3,7
945,qo'lyozma,bitik,NOUN,622,syn,high,9,10,5,8,4,9,3,9,8,8,7,9,3,7,3,6,4,8,5,6,3,6
946,muddao,maqsad,NOUN,616,syn,high,9,10,7,9,6,6,8,10,8,9,9,9,6,8,4,7,8,8,4,5,8,8
947,ayyom,bayram,NOUN,614,syn,high,6,8,8,10,6,8,9,9,9,10,10,10,7,8,6,9,8,8,8,9,9,9
948,mutafakkir,olim,NOUN,613,syn,high,7,9,8,9,6,8,8,8,7,9,10,10,7,8,9,10,6,7,8,7,8,9
949,dugona,do'st,NOUN,571,syn,high,7,10,9,9,8,9,7,8,8,10,6,8,8,9,7,9,4,7,8,9,5,8
950,soniya,lahza,NOUN,568,syn,high,5,10,9,10,9,8,9,9,10,10,8,8,9,10,9,10,9,10,9,10,2,6
951,tomorqa,dala,NOUN,560,syn,high,7,10,8,9,7,8,8,10,6,9,10,10,6,8,5,7,6,6,8,2,7,8
952,tuhfa,sovg'a,NOUN,555,syn,high,8,10,10,10,8,9,8,9,9,9,9,10,10,10,8,9,7,8,8,8,3,6
953,ummon,okean,NOUN,555,syn,high,9,10,10,10,9,10,10,10,8,10,7,8,8,10,10,10,9,10,7,8,8,9
954,mutoala,o'qish,NOUN,554,syn,oov2,8,10,6,9,8,9,7,9,8,8,7,10,9,10,9,10,8,10,2,8,8,10
955,bayonot,xabar,NOUN,499,syn,high,7,10,4,7,4,6,5,5,7,8,8,8,7,8,4,7,5,6,4,6,8,9
956,ziyoratgoh,qadamjo,NOUN,489,syn,high,9,10,8,9,6,7,6,8,6,7,8,8,7,8,5,8,6,7,2,6,6,6
957,muhimlik,zaruriy,NOUN,461,syn,high,6,9,8,8,7,7,4,5,6,7,8,10,2,5,3,5,3,5,6,7,3,8
958,ekstremizm,ko'poruvchilik,NOUN,451,syn,high,9,10,9,10,7,8,9,10,3,8,7,7,8,9,7,8,10,10,2,8,9,9
959,tushum,foyda,NOUN,449,syn,high,7,9,7,9,7,9,7,8,6,8,9,9,8,9,8,9,9,9,8,10,9,10
960,izlash,qidirish,VERB,435,syn,high,10,10,9,9,8,9,9,9,9,10,8,8,9,10,9,10,9,10,8,8,6,6
961,iymon,ishonch,NOUN,428,syn,high,6,10,9,9,6,8,9,9,2,8,8,9,2,8,7,8,7,7,8,6,5,8
962,ziddiyat,qarshilik,NOUN,427,syn,high,9,10,9,10,8,8,9,9,8,9,9,9,7,9,8,9,9,10,9,9,7,9
964,iqbol,kelajak,NOUN,419,syn,high,7,9,8,9,8,7,6,8,8,9,4,7,8,9,6,7,8,9,2,6,8,9
963,tavallud,farzand,NOUN,421,irr,high,2,7,3,8,4,9,2,9,5,8,3,7,8,9,2,7,1,7,2,8,3,6
966,tabassum,jilmayish,VERB,404,syn,high,6,9,7,9,6,8,7,8,8,7,9,9,6,8,6,9,4,7,9,8,7,9
967,udum,odat,NOUN,403,syn,high,7,9,8,8,8,9,8,8,8,7,8,8,8,9,4,7,7,8,8,9,8,9
968,tugatish,tamomlash,VERB,401,syn,high,9,9,10,10,8,9,7,8,9,9,9,9,7,8,7,10,8,9,8,8,8,9
969,muolaja,davolash,VERB,397,syn,high,5,9,8,9,6,9,8,8,7,9,7,9,8,9,4,9,9,10,7,7,8,8
970,sulola,avlod,NOUN,390,syn,high,8,9,6,8,7,7,9,9,1,7,8,9,9,10,6,7,6,9,7,7,4,8
971,uyushqoqlik,birdamlik,NOUN,384,syn,high,8,9,8,10,8,9,8,10,8,9,7,7,9,9,6,9,9,9,7,8,8,9
972,mushohada,munozara,NOUN,382,syn,high,9,10,8,8,3,6,6,7,6,8,8,9,6,7,5,8,8,9,7,9,3,6
973,nafosat,go'zallik,NOUN,381,syn,high,8,10,6,8,8,9,9,9,9,10,8,9,9,10,9,9,8,9,8,10,8,9
974,ekspozitsiya,ko'rgazma,NOUN,375,syn,high,3,6,9,9,7,8,6,9,6,8,8,8,8,10,3,8,6,9,8,6,7,8
975,ekspeditsiya,sayohat,NOUN,374,syn,high,9,10,7,7,4,9,4,6,3,8,7,9,4,9,4,9,5,9,9,8,8,9
976,soxil,qirg'oq,NOUN,373,syn,oov2,10,10,7,9,8,9,9,9,9,10,9,9,9,10,9,10,8,9,8,6,3,6
977,tannarx,qiymat,NOUN,371,syn,high,3,7,4,8,8,7,8,9,7,9,1,9,8,10,6,9,4,7,7,8,4,8
978,zo'ravonlik,bosqinchilik,NOUN,370,syn,high,4,9,9,9,6,6,6,7,4,8,7,9,9,10,4,8,4,8,5,9,5,8
979,uchish,parvoz,NOUN,360,syn,high,1,9,8,9,8,10,8,8,0,9,7,8,6,7,8,10,8,8,8,7,8,8
980,asorat,qoldiq,NOUN,359,syn,high,4,9,3,3,3,6,4,4,6,9,8,9,2,6,3,6,2,5,2,4,3,6
981,dastgoh,jihoz,NOUN,355,syn,high,3,4,6,9,6,6,4,6,8,9,7,8,4,6,4,7,4,6,2,2,3,7
982,putur,zarar,NOUN,353,syn,high,4,6,8,9,9,10,5,5,7,8,8,9,7,8,3,5,6,7,2,0,4,7
983,tuzatish,ta'mirlash,VERB,352,syn,high,8,10,7,8,7,9,7,9,8,8,9,9,9,9,6,9,9,10,7,8,6,8
984,astronomiya,falakiyot,NOUN,347,syn,high,9,10,8,9,8,9,10,10,9,10,9,9,8,9,10,10,9,10,9,10,8,9
985,hirmon,hosil,NOUN,346,syn,oov2,6,10,9,9,5,7,6,8,10,10,7,8,8,9,7,9,9,9,8,10,6,8
986,chehra,yuz,NOUN,337,syn,high,8,9,10,10,8,7,7,9,8,8,8,8,10,10,9,9,9,10,8,10,9,9
987,tozalik,ozadalik,NOUN,333,syn,high,8,9,9,9,8,9,8,10,8,9,10,10,10,10,9,10,10,10,8,8,9,9
988,aziyat,jarohat,NOUN,332,syn,high,2,6,4,8,6,6,3,5,2,5,6,9,2,5,2,3,1,4,0,7,4,6
989,badal,to'lov,NOUN,329,syn,high,5,7,5,7,5,8,4,9,5,9,8,8,4,8,6,8,4,7,4,8,7,8
990,mavqe,obro',NOUN,329,syn,high,8,10,8,9,8,8,8,10,6,8,9,9,4,7,7,9,4,6,7,8,9,9
991,insho,bayon,NOUN,325,syn,high,4,6,9,9,6,8,4,8,8,9,8,9,3,6,4,6,6,7,8,8,1,7
992,sarhad,chegara,NOUN,311,syn,high,6,8,7,9,6,7,6,9,10,10,7,7,7,8,7,9,7,8,8,8,4,6
993,qismat,taqdir,NOUN,310,syn,high,9,10,10,10,9,8,9,10,9,10,10,10,6,8,9,10,4,9,9,8,8,9
994,qidirish,izlash,VERB,304,syn,high,9,10,9,10,9,9,9,9,7,8,9,9,9,10,10,10,9,9,9,10,5,8
995,ishbilarmonlik,tadbirkorlik,NOUN,303,syn,high,7,9,8,9,8,8,9,9,9,10,7,8,8,9,9,10,8,9,6,7,9,9
997,mardlik,jasorat,NOUN,298,syn,high,8,9,8,10,9,9,8,9,10,9,10,10,9,10,10,10,6,7,8,9,6,8
998,muovin,o'rinbosar,NOUN,297,syn,high,2,6,8,9,4,6,3,8,8,9,9,9,3,5,8,9,3,5,9,9,9,9
999,yaylov,dala,NOUN,292,syn,high,4,7,4,6,6,7,6,6,7,8,8,9,8,8,7,10,4,6,8,10,6,6
1000,javohir,olmos,NOUN,291,syn,high,9,9,9,9,7,9,8,9,9,10,8,9,5,6,7,9,4,6,0,2,3,6
1001,o'rtoqlik,do'stlik,NOUN,288,syn,high,9,10,7,8,7,7,8,9,9,9,9,9,7,9,8,10,7,8,2,9,6,9
1002,jamol,chiroy,NOUN,281,syn,high,8,10,6,8,6,8,9,9,9,9,6,9,4,8,7,9,6,8,5,8,7,8
1003,urf,odat,NOUN,274,syn,high,4,7,9,9,9,10,10,10,6,9,8,8,7,8,10,10,9,9,7,5,8,8
1004,zovur,ariq,NOUN,272,syn,high,8,9,9,9,8,9,3,8,3,7,6,7,8,9,5,7,5,6,3,8,2,8
1005,tutmoq,ushlamoq,VERB,258,syn,high,6,8,9,9,5,7,7,8,7,8,9,9,7,7,4,7,6,7,8,7,6,8
1006,tortishuv,bahs,NOUN,249,syn,high,4,6,7,9,8,8,7,9,9,9,8,9,7,8,6,8,3,5,9,9,6,8
1007,talaffuz,gapirish,VERB,247,syn,high,2,6,6,9,5,7,6,7,6,7,8,8,5,7,3,6,3,5,8,6,8,9
1008,oshno,o'rtoq,NOUN,242,syn,high,8,9,7,8,6,7,6,8,8,9,10,10,4,6,5,7,8,9,8,8,8,9
1009,sirtqi,tashqi,NOUN,241,syn,high,8,9,10,10,7,8,8,8,8,9,7,8,8,9,5,7,4,6,6,8,3,6
1010,birdamlik,jipslik,NOUN,234,syn,high,6,9,9,9,8,8,7,9,8,8,10,10,8,9,4,7,6,9,9,8,8,9
1011,tafovut,farq,NOUN,234,syn,high,8,9,9,9,8,9,8,9,7,8,9,10,7,9,9,9,7,8,6,8,8,9
1012,ijozat,ruxsat,NOUN,232,syn,high,9,9,6,9,9,10,7,7,8,9,9,9,9,10,6,8,9,9,8,8,9,10
1013,rafiqa,xotin,NOUN,224,syn,high,10,10,10,10,9,10,10,10,7,9,9,9,9,10,10,10,8,9,8,8,6,6
1014,saxro,cho'l,NOUN,224,syn,oov2,9,9,9,9,9,10,9,10,8,8,8,9,10,5,9,10,7,10,8,8,9,9
1015,hibs,qamoq,NOUN,222,syn,high,8,9,10,10,8,9,9,9,6,8,9,9,9,9,7,9,7,8,8,6,8,9
