#,Word 1,Word 2,Pos,Frq,Type,Level,s1,r1,s2,r2,s3,r3,s4,r4,s5,r5,s6,r6,s7,r7,s8,r8,s9,r9,s10,r10,s11,r11,s12,r12
191,nosog',kasal,ADJ,1,syn,low,8,9,8,9,7,8,6,7,7,8,8,9,5,7,7,10,1,6,8,7,7,8,8,9
192,oriyatli,g'ururli,ADJ,1,syn,low,8,8,10,10,9,10,8,9,8,8,9,9,9,10,9,10,9,10,8,8,7,8,6,9
193,qiltiriq,oriq,ADJ,1,syn,low,8,9,9,9,6,8,7,7,0,8,9,10,7,8,6,9,2,8,8,8,8,9,8,9
194,qomatdor,salobatli,ADJ,1,syn,low,7,9,7,7,5,6,4,7,3,6,7,8,4,6,4,8,2,5,4,6,8,9,3,6
195,sabrsiz,betoqat,ADJ,1,syn,low,9,9,9,9,7,8,8,8,7,9,9,10,8,8,9,10,9,10,8,10,6,8,8,9
196,suxsur,chiroyli,ADJ,1,syn,low,6,9,9,9,7,9,8,9,6,8,7,8,8,10,4,7,8,9,2,2,8,9,8,8
197,tilyog'lama,makkor,ADJ,1,syn,low,9,9,7,9,6,7,8,9,9,8,7,7,9,10,6,8,8,9,2,6,8,9,6,9
198,toqatli,chidamli,ADJ,1,syn,low,9,10,8,9,7,8,6,6,8,8,8,9,5,7,4,7,6,8,8,8,8,9,6,9
199,tubsiz,chuqur,ADJ,1,syn,low,8,9,9,9,9,9,9,10,7,9,8,9,8,9,8,10,8,9,9,10,7,8,8,9
200,uqubatli,dardli,ADJ,1,syn,low,9,9,7,9,7,8,6,7,6,8,8,10,5,6,2,3,8,8,6,7,7,9,7,8
201,uyqusiz,bedor,ADJ,1,syn,low,9,10,10,10,7,9,6,8,8,9,8,8,10,10,9,10,9,10,8,8,7,8,9,9
202,vaxshiyona,shafqatsiz,ADJ,1,syn,oov,8,9,9,10,8,9,8,8,6,9,9,9,8,9,8,10,7,8,7,9,7,8,8,9
203,xafahol,g'amgin,ADJ,1,syn,low,9,9,7,8,7,8,7,7,6,8,9,10,3,5,3,5,6,6,8,8,7,9,9,9
204,zehnli,aqlli,ADJ,1,syn,low,7,8,9,10,8,9,8,8,9,8,9,10,8,9,6,9,7,9,8,6,8,9,8,9
205,dastlab,avval,ADJ,1915,syn,high,9,10,5,5,5,6,6,9,6,7,10,10,3,5,2,5,4,5,9,8,8,9,8,9
206,biroz,ozgina,ADJ,1703,syn,high,9,9,6,7,6,7,6,7,8,8,8,9,6,6,7,9,8,9,6,8,8,9,3,9
207,oldingi,avalgi,ADJ,1432,syn,high,9,10,6,7,5,7,6,6,4,6,8,9,3,4,4,8,6,7,4,2,7,9,8,9
208,mamlakat,davlat,NOUN,53187,syn,high,9,10,10,10,6,9,7,9,9,10,8,9,8,9,8,9,9,10,8,8,8,9,6,7
209,soha,yo'nalish,NOUN,31050,syn,high,8,9,8,9,8,9,8,8,7,8,8,8,8,9,7,9,8,9,8,10,7,8,7,8
210,jamiyat,davlat,NOUN,24655,syn,high,9,10,7,10,5,9,5,7,6,9,6,7,10,10,6,10,4,8,6,10,8,9,6,10
211,talaba,o'quvchi,NOUN,14054,syn,high,8,9,9,10,8,8,8,8,9,10,7,9,7,9,9,10,8,9,7,8,7,8,6,8
212,muassasa,tashkilot,NOUN,12736,syn,high,8,10,9,10,8,9,7,8,9,10,9,10,8,9,10,10,7,9,8,6,8,9,7,8
213,narsa,buyum,NOUN,10032,syn,high,10,10,9,10,9,9,8,9,9,10,8,10,8,10,10,10,9,9,9,7,7,9,8,9
214,maydon,joy,NOUN,9471,syn,high,7,9,6,6,5,7,6,7,6,8,7,7,8,10,4,5,4,6,8,8,8,9,6,8
215,taraqqiyot,rivojlanish,NOUN,8787,syn,high,8,10,8,10,8,9,9,9,9,10,10,10,9,9,9,10,7,9,8,8,7,8,9,9
216,ishtirokchi,qatnashuvchi,NOUN,8444,syn,high,8,9,9,10,9,10,9,9,8,8,8,9,9,9,10,10,9,9,8,6,8,9,8,9
217,shartnoma,kelishuv,NOUN,7783,syn,high,9,10,7,8,8,8,6,9,6,8,9,9,6,8,4,7,7,7,9,8,8,9,4,7
218,boshqarma,vazirklik,NOUN,7149,syn,high,6,9,7,8,6,7,7,9,6,8,8,8,9,9,7,10,6,7,5,8,8,9,4,7
219,resurs,manba,NOUN,6913,syn,high,8,10,10,10,9,10,8,8,9,10,9,10,9,9,10,10,9,10,6,7,7,9,8,9
220,komissiya,nazoratchi,NOUN,6628,syn,high,8,10,5,6,4,5,3,4,3,4,8,8,3,5,2,4,2,9,3,5,8,8,4,9
221,poytaxt,markaz,NOUN,6556,syn,high,9,10,7,8,6,8,5,7,4,5,3,5,3,6,4,6,3,4,8,9,8,9,8,9
222,tehnika,qurilma,NOUN,6420,syn,oov2,9,10,5,8,6,7,3,6,3,5,8,10,7,9,2,4,0,3,8,8,7,8,7,8
223,muhokama,munozara,NOUN,6267,syn,high,9,10,9,10,6,8,7,8,6,9,8,9,7,8,6,8,8,9,6,4,8,9,8,9
224,anjuman,yig'ilish,NOUN,6047,syn,high,7,9,6,7,7,8,8,10,6,7,8,8,8,9,8,10,6,7,8,6,8,9,5,8
225,xukumat,davlat,NOUN,5803,syn,oov2,8,10,9,9,5,6,8,9,8,9,7,8,8,9,8,10,3,4,8,6,7,8,8,9
226,barpo,bunyod,NOUN,5687,syn,high,8,9,7,8,8,8,4,6,6,6,10,10,8,9,4,6,8,8,2,2,8,8,8,8
227,film,kino,NOUN,5664,syn,high,10,10,9,10,7,8,9,10,9,8,8,10,9,10,9,10,8,9,8,8,8,9,3,6
228,jamoatchilik,aholi,NOUN,5518,syn,high,8,10,5,6,4,7,8,10,6,8,4,9,3,5,3,5,4,7,0,2,8,9,4,6
229,ko'rsatkich,natija,NOUN,5464,syn,high,8,9,6,7,6,8,4,6,6,7,8,9,6,7,6,9,6,8,8,8,8,9,5,7
230,uyushma,tashkilot,NOUN,5246,syn,high,9,10,7,8,7,8,6,8,8,9,10,8,8,9,9,10,6,7,7,9,8,8,5,8
231,istiqlol,mustaqillik,NOUN,5096,syn,high,9,10,10,10,6,7,6,8,6,6,9,9,8,9,6,9,8,9,9,9,7,8,8,8
232,vaziyat,holat,NOUN,4773,syn,high,8,9,8,9,8,9,8,9,8,10,7,8,9,10,10,10,9,10,4,4,7,8,6,8
233,moliya,iqtisod,NOUN,4770,syn,high,7,9,6,8,4,7,8,8,4,7,6,6,3,6,4,7,4,6,8,6,7,8,8,9
234,tarona,musiqa,NOUN,4641,syn,high,7,10,10,10,7,8,10,10,9,10,9,10,7,10,10,10,3,5,8,9,7,8,8,8
235,fond,jamg'arma,NOUN,4603,syn,high,7,9,9,9,9,9,9,10,9,9,8,8,9,9,10,10,8,9,5,5,8,9,8,9
236,boshliq,rahbar,NOUN,4490,syn,high,9,10,10,10,8,7,6,8,9,9,8,9,8,9,7,10,8,8,8,8,8,9,3,8
237,yagona,yolg'iz,NOUN,4434,syn,high,9,10,10,10,7,8,8,7,6,9,9,10,7,8,2,5,4,6,8,10,8,9,9,10
238,avtomobil,mashina,NOUN,4364,syn,high,8,10,9,10,9,9,9,10,10,10,8,9,10,10,9,10,9,10,8,4,8,9,7,8
239,mintaqa,xudud,NOUN,4352,syn,high,8,9,6,6,7,8,8,9,5,6,8,9,8,9,6,8,6,7,7,6,8,9,7,9
240,ehtiyoj,zarurat,NOUN,4214,syn,high,9,9,10,10,6,8,9,9,8,10,9,10,8,10,6,9,4,5,8,6,7,9,8,9
241,maxkama,idora,NOUN,4196,syn,oov2,9,9,8,8,7,9,8,8,6,7,7,9,6,8,9,10,6,7,8,8,7,8,6,8
242,farovonlik,tinchlik,NOUN,4149,syn,high,9,9,8,10,8,9,9,10,9,10,9,9,9,10,7,10,9,10,8,9,8,9,9,9
243,muloqot,suhbat,NOUN,4085,syn,high,9,10,8,8,7,9,7,9,7,9,8,9,7,8,6,9,3,5,6,8,7,8,9,9
244,energiya,kuch,NOUN,4079,syn,high,7,9,5,8,6,7,6,7,6,8,8,8,5,7,4,7,5,7,4,6,0,2,7,9
245,tijorat,savdo,NOUN,3901,syn,high,7,9,10,10,9,10,9,10,8,9,8,8,9,10,10,10,10,10,9,10,7,8,8,9
246,xotira,yod,NOUN,3808,syn,high,7,9,7,9,7,8,7,7,8,9,8,10,9,9,6,7,7,8,8,8,8,9,3,6
247,marosim,tadbir,NOUN,3741,syn,high,7,9,6,8,5,7,6,8,8,9,8,9,8,8,6,9,7,8,8,6,7,8,3,8
248,erkinlik,mustaqillik,NOUN,3698,syn,high,8,10,7,9,5,6,5,8,8,7,8,9,6,8,8,10,8,8,7,8,7,8,9,9
249,mijoz,xaridor,NOUN,3654,syn,high,9,10,10,10,9,9,10,10,9,9,8,8,9,10,10,10,10,10,9,10,7,8,9,9
250,narx,baho,NOUN,3645,syn,high,10,10,9,10,10,10,9,9,8,8,9,9,9,10,8,10,9,10,8,7,8,9,6,7
251,xonanda,qo'shiqchi,NOUN,3609,syn,high,8,10,9,10,8,7,10,10,9,8,8,8,5,8,10,10,6,8,8,9,7,9,3,6
252,maskan,joy,NOUN,3562,syn,high,8,9,7,8,6,7,5,7,6,8,8,9,7,8,4,7,5,6,6,7,8,8,6,8
253,inshoot,bino,NOUN,3458,syn,high,9,10,9,10,7,9,8,9,6,8,8,9,9,9,8,9,8,10,5,8,8,9,8,9
254,kamchilik,nuqson,NOUN,3418,syn,high,9,9,6,8,7,8,7,8,6,7,9,9,9,10,3,5,4,6,6,8,7,8,6,8
255,konferensiya,anjuman,NOUN,3381,syn,high,8,10,10,10,9,9,9,9,7,9,8,10,7,9,9,10,8,10,8,8,7,8,7,9
256,tasavvur,xayol,NOUN,3362,syn,high,8,9,7,8,8,7,7,7,6,8,7,8,9,10,4,6,8,9,6,4,7,8,8,8
257,tamoyil,yondashuv,NOUN,3311,syn,high,7,8,8,9,8,9,8,10,8,8,6,6,8,10,9,10,8,9,6,6,8,9,6,8
258,kommunikatsiya,aloqa,NOUN,3306,syn,high,8,10,8,9,8,8,9,9,7,8,7,8,4,10,7,10,3,5,2,9,8,9,8,9
259,takomillashtirish,rivojlanish,NOUN,3265,syn,high,8,9,9,9,8,9,9,9,8,8,7,7,7,9,4,6,6,7,8,6,8,9,8,9
260,hodisa,voqea,NOUN,3159,syn,high,9,9,10,10,9,9,8,8,9,10,7,7,9,10,8,10,8,9,7,8,7,9,8,8
261,darslik,manba,NOUN,3110,syn,high,7,9,3,6,3,6,6,8,5,9,6,10,4,8,3,6,3,5,8,6,8,8,3,5
262,matn,yozuv,NOUN,3087,syn,high,7,9,8,10,6,8,9,10,6,9,7,7,7,8,4,6,6,7,7,8,8,8,5,8
263,urush,jang,NOUN,2998,syn,high,9,9,7,10,9,9,7,8,9,10,7,8,4,7,3,8,8,10,9,10,8,9,6,8
264,ahvol,holat,NOUN,2931,syn,high,8,9,7,8,8,7,8,9,9,9,8,9,8,9,6,9,9,10,8,8,7,9,8,9
265,boylik,mulk,NOUN,2799,syn,high,8,9,8,10,4,8,7,8,8,8,7,9,7,10,4,8,7,9,6,10,5,7,8,9
266,birlashma,uyushma,NOUN,2698,syn,high,6,9,9,9,6,7,9,9,9,10,9,9,6,7,9,10,6,8,4,6,8,9,8,9
267,qatnashchi,ishtirokchi,NOUN,2654,syn,high,8,9,9,9,8,9,10,10,9,10,9,10,5,8,6,7,9,10,9,10,7,8,3,6
268,oziq-ovqat,yegulik,NOUN,2589,syn,high,8,10,8,9,7,8,8,8,9,10,9,9,7,9,4,9,4,6,6,8,7,8,9,9
269,to'plam,uyum,NOUN,2573,syn,high,7,9,9,9,7,8,6,7,8,8,8,9,10,10,5,7,2,6,4,6,7,9,3,8
270,honadon,hovli,NOUN,2513,syn,oov2,9,10,9,10,7,8,9,9,8,9,8,10,8,10,9,10,10,10,6,8,6,7,8,9
271,buyum,narsa,NOUN,2488,syn,high,10,10,7,9,8,10,9,9,8,9,8,9,9,10,9,10,8,8,3,8,7,8,9,9
272,majburiyat,burch,NOUN,2476,syn,high,7,10,8,9,8,8,6,7,5,6,8,9,9,10,4,6,6,7,8,6,7,8,6,6
273,ulush,qism,NOUN,2458,syn,high,9,9,3,4,5,7,3,5,3,5,8,8,3,5,3,5,2,4,5,7,8,8,4,6
274,toifa,tur,NOUN,2399,syn,high,9,10,8,8,6,7,6,7,6,7,9,9,4,6,8,9,4,5,6,7,8,9,6,8
275,ko'nikma,tajriba,NOUN,2396,syn,high,9,10,9,10,8,9,9,8,9,10,10,10,9,9,6,9,8,8,6,7,7,9,7,9
276,tafakkur,fikr,NOUN,2266,syn,high,8,9,7,7,5,7,6,8,5,8,7,7,10,10,7,8,4,5,0,2,8,9,8,9
277,saroy,qasr,NOUN,2214,syn,high,7,10,8,9,7,9,8,9,8,8,9,9,5,7,9,10,7,8,3,7,8,9,8,9
278,saviya,martaba,NOUN,2205,syn,high,6,9,8,8,6,9,6,6,6,6,7,8,8,9,3,5,8,9,4,8,7,8,6,8
279,doimo,muntazam,NOUN,2180,syn,high,9,10,5,7,6,5,6,7,5,7,8,9,6,8,4,6,4,5,3,8,9,8,6,8
280,bunyodkorlik,qurilish,NOUN,2173,syn,high,7,10,8,9,8,9,6,7,7,8,7,8,8,9,4,7,6,7,6,8,8,8,7,8
281,noyob,kamyob,NOUN,2102,syn,high,9,10,7,9,8,8,8,9,9,10,8,9,9,10,5,10,6,10,8,8,7,8,8,9
282,jadval,reja,NOUN,2037,syn,high,6,9,8,8,7,8,8,9,9,9,7,7,4,5,6,9,6,7,9,6,8,9,8,9
283,g'amxo'rlik,qayg'urish,NOUN,2034,syn,high,9,9,7,8,7,8,8,9,5,7,10,10,5,6,3,6,3,4,9,8,8,9,8,9
284,yo'llanma,yo'riqnoma,NOUN,1915,syn,high,6,9,6,7,5,7,7,6,5,8,5,7,5,6,3,4,4,6,8,7,7,8,4,5
285,xamyurt,yurtdosh,NOUN,1909,syn,oov2,9,10,10,10,9,9,10,10,10,9,8,9,9,10,9,10,9,10,8,8,8,9,8,9
286,organizm,jism,NOUN,1890,syn,high,7,9,8,9,5,7,5,7,2,8,8,9,6,7,4,5,4,5,2,6,7,8,3,5
287,tahsil,ta'lim,NOUN,1873,syn,high,8,9,10,10,5,9,8,10,9,9,8,9,8,9,7,9,8,9,2,2,8,9,8,9
288,maishiy,xo'jalik,NOUN,1852,syn,high,7,9,6,7,4,6,6,7,2,8,5,7,4,8,1,7,0,4,1,4,7,8,2,5
289,faxriy,martabali,NOUN,1804,syn,high,8,10,5,6,5,7,5,8,6,7,8,8,3,4,3,5,4,6,6,7,7,8,8,9
290,hamjamiyat,hukumati,NOUN,1791,syn,high,6,9,4,6,4,6,4,6,3,5,1,5,8,9,2,5,1,5,1,5,8,9,3,5
291,raqs,o'yin,NOUN,1789,syn,high,9,10,6,9,4,7,4,6,4,6,6,9,3,5,3,7,4,6,8,7,8,9,6,6
292,insoniyat,odamzod,NOUN,1758,syn,high,9,10,10,10,8,9,8,9,8,9,7,7,9,10,9,10,9,10,8,9,7,8,9,9
293,dunyoqarash,tafakkur,NOUN,1757,syn,high,8,9,7,9,5,8,7,9,6,8,7,9,2,4,5,8,3,9,6,4,8,9,8,9
294,yoshlik,navqiron,NOUN,1640,syn,high,7,10,8,9,5,5,8,9,6,8,0,2,6,7,3,6,7,9,5,6,7,8,5,7
295,ijrochi,bajaruvchi,NOUN,1626,syn,high,7,9,7,7,8,9,6,8,6,7,8,9,9,9,8,9,9,9,4,6,7,8,7,9
296,yurtdosh,hamyurt,NOUN,1597,syn,high,9,10,10,10,8,9,9,10,8,10,9,10,8,10,9,10,8,9,4,8,8,10,6,8
297,mezon,nizom,NOUN,1561,syn,high,8,9,7,9,7,8,8,10,7,8,7,8,7,9,8,9,7,8,5,10,7,8,8,8
298,topshiriq,vazifa,NOUN,1554,syn,high,9,10,10,10,8,9,6,8,7,8,8,9,6,7,6,8,4,6,8,8,8,9,8,9
299,libos,kiyim,NOUN,1536,syn,high,10,10,6,8,6,7,6,8,5,8,7,6,10,10,4,6,4,8,8,7,8,8,9,10
300,sarmoya,mablag',NOUN,1535,syn,high,7,10,8,10,7,8,7,9,5,7,8,10,7,8,4,7,2,5,8,7,7,8,5,8
301,tinglovchi,eshituvchi,NOUN,1526,syn,high,9,10,9,10,9,9,6,8,8,9,7,7,8,10,9,10,9,10,8,8,7,8,6,9
302,okrug,xudud,NOUN,1524,syn,high,8,9,6,7,6,6,6,7,8,9,8,8,3,5,4,7,4,6,8,8,8,9,7,8
303,o'tmish,tarix,NOUN,1476,syn,high,7,9,9,10,8,9,9,10,7,9,9,9,9,9,7,9,8,9,9,7,6,8,6,8
304,timsol,ramz,NOUN,1425,syn,high,8,10,9,10,8,8,6,7,3,7,8,10,7,8,9,10,5,6,3,7,7,8,6,8
305,mag'lubiyat,yutqazish,NOUN,1383,syn,high,9,10,9,9,7,9,8,8,8,8,9,9,6,8,9,10,7,9,6,8,8,9,9,10
306,vafot,o'lim,NOUN,1346,syn,high,10,10,9,9,9,10,10,10,9,10,8,9,9,10,9,10,9,9,8,8,8,9,9,10
307,mutasaddi,javobgar,NOUN,1343,syn,high,7,10,7,9,7,8,7,8,9,8,6,8,8,10,7,9,7,8,2,8,8,8,6,8
308,tushish,pastlash,NOUN,1337,syn,high,8,10,6,8,6,8,8,7,0,8,5,8,8,9,3,6,8,8,7,9,8,9,6,8
309,shifohona,kasalxona,NOUN,1304,syn,oov2,10,10,10,10,10,10,9,9,8,9,9,9,9,9,9,10,9,10,8,8,7,8,6,6
310,asbob,uskuna,NOUN,1288,syn,high,10,10,8,10,6,7,3,6,6,8,7,8,7,10,7,9,8,9,8,8,8,9,5,8
311,ajratish,bo'laklash,NOUN,1268,syn,high,9,10,6,6,4,5,6,7,4,6,9,9,6,6,3,6,6,7,6,7,8,9,6,9
312,xastalik,kasallik,NOUN,1262,syn,high,10,10,10,10,9,8,8,8,8,9,8,9,10,5,9,10,4,6,7,9,8,9,8,9
313,tahdid,qo'rqitish,NOUN,1255,syn,high,8,10,8,8,7,8,5,6,6,6,7,8,4,6,7,10,9,9,8,7,7,9,7,8
314,sayyoh,sayohatchi,NOUN,1231,syn,high,8,10,4,9,4,9,9,9,9,9,8,10,8,10,10,10,8,10,9,10,7,8,3,7
315,obida,imorat,NOUN,1230,syn,high,7,10,7,9,6,6,4,5,4,6,7,8,3,5,4,7,3,7,3,7,8,9,5,8
316,xayriya,saxovat,NOUN,1193,syn,high,8,9,10,10,6,8,8,9,6,8,8,9,8,9,8,10,6,9,8,10,7,9,8,8
317,turizm,sayohat,NOUN,1175,syn,high,7,10,5,9,4,9,4,9,2,8,5,7,5,9,5,8,6,9,3,7,8,9,7,9
318,rusum,toifa,NOUN,1165,syn,high,8,10,8,8,8,9,5,6,4,6,8,8,4,5,4,5,4,5,7,6,8,9,8,9
319,kuzatuvchi,nazoratchi,NOUN,1150,syn,high,9,10,6,8,5,6,4,7,8,8,10,10,7,8,3,7,3,4,6,8,7,9,8,9
320,andoza,namuna,NOUN,1105,syn,high,10,10,10,10,7,9,8,10,10,10,8,9,9,10,4,7,6,6,8,4,7,8,8,9
321,ezgulik,yaxshilik,NOUN,1096,syn,high,9,10,8,9,7,9,7,8,8,9,8,9,7,8,7,9,8,9,9,8,8,9,8,9
322,iftixor,g'urur,NOUN,1038,syn,high,10,10,10,10,8,8,10,9,7,8,8,9,9,9,9,10,7,9,8,8,7,8,9,9
323,voxa,vodiy,NOUN,1023,syn,oov2,7,9,4,8,4,9,3,6,3,6,8,8,3,5,2,7,4,6,8,9,8,9,2,7
324,ashyo,buyum,NOUN,1015,syn,high,10,10,9,9,9,9,7,8,9,10,6,8,9,10,8,10,10,10,8,6,7,8,8,9
325,maktub,xat,NOUN,943,syn,high,9,10,10,10,8,9,8,9,8,10,8,8,6,8,10,10,9,10,9,8,8,9,9,9
326,bitim,kelishuv,NOUN,923,syn,high,7,10,8,8,8,9,9,9,6,8,8,9,9,9,6,7,7,9,8,10,8,9,6,8
327,makon,joy,NOUN,889,syn,high,7,10,8,8,6,7,5,7,9,9,7,7,5,8,6,8,3,5,8,8,7,9,6,7
328,turar-joy,hovli,NOUN,770,syn,high,8,10,10,10,9,9,8,9,7,8,7,9,8,10,4,7,8,9,5,7,8,9,8,9
329,diyor,yurt,NOUN,738,syn,high,7,9,8,10,7,7,7,8,4,6,8,9,9,10,4,8,6,8,7,9,7,8,4,8
330,halokat,falokat,NOUN,728,syn,high,10,10,10,10,8,9,8,9,7,8,8,9,8,10,8,10,9,10,8,8,7,8,9,9
331,tavallud,tug'ilish,NOUN,706,syn,high,9,10,5,8,6,7,10,10,7,9,9,9,8,9,7,9,6,8,7,9,8,9,6,7
332,sado,tovush,NOUN,675,syn,high,8,10,8,9,6,8,5,8,7,10,8,8,8,9,6,8,6,7,6,8,7,9,4,6
333,maqbara,sag'ana,NOUN,627,syn,high,7,9,5,9,4,6,4,7,4,6,7,7,7,9,4,5,4,5,6,8,7,9,3,7
334,qo'lyozma,bitik,NOUN,622,syn,high,9,10,5,8,4,9,3,9,8,8,7,9,3,7,3,6,4,8,5,6,8,9,3,6
335,muddao,maqsad,NOUN,616,syn,high,9,10,7,9,6,6,8,10,8,9,9,9,6,8,4,7,8,8,4,5,7,9,8,8
336,ayyom,bayram,NOUN,614,syn,high,6,8,8,10,6,8,9,9,9,10,10,10,7,8,6,9,8,8,8,9,7,8,9,9
337,mutafakkir,olim,NOUN,613,syn,high,7,9,8,9,6,8,8,8,7,9,10,10,7,8,9,10,6,7,8,7,7,8,8,9
338,dugona,do'st,NOUN,571,syn,high,7,10,9,9,8,9,7,8,8,10,6,8,8,9,7,9,4,7,8,9,7,8,5,8
339,soniya,lahza,NOUN,568,syn,high,5,10,9,10,9,8,9,9,10,10,8,8,9,10,9,10,9,10,9,10,8,9,2,6
340,tomorqa,dala,NOUN,560,syn,high,7,10,8,9,7,8,8,10,6,9,10,10,6,8,5,7,6,6,8,2,8,9,7,8
341,tuhfa,sovg'a,NOUN,555,syn,high,8,10,10,10,8,9,8,9,9,9,9,10,10,10,8,9,7,8,8,8,8,9,3,6
342,ummon,okean,NOUN,555,syn,high,9,10,10,10,9,10,10,10,8,10,7,8,8,10,10,10,9,10,7,8,8,9,8,9
343,mutoala,o'qish,NOUN,554,syn,oov2,8,10,6,9,8,9,7,9,8,8,7,10,9,10,9,10,8,10,2,8,7,8,8,10
344,bayonot,xabar,NOUN,499,syn,high,7,10,4,7,4,6,5,5,7,8,8,8,7,8,4,7,5,6,4,6,7,8,8,9
345,ziyoratgoh,qadamjo,NOUN,489,syn,high,9,10,8,9,6,7,6,8,6,7,8,8,7,8,5,8,6,7,2,6,8,8,6,6
346,muhimlik,zaruriy,NOUN,461,syn,high,6,9,8,8,7,7,4,5,6,7,8,10,2,5,3,5,3,5,6,7,8,9,3,8
347,ekstremizm,ko'poruvchilik,NOUN,451,syn,high,9,10,9,10,7,8,9,10,3,8,7,7,8,9,7,8,10,10,2,8,7,8,9,9
348,tushum,foyda,NOUN,449,syn,high,7,9,7,9,7,9,7,8,6,8,9,9,8,9,8,9,9,9,8,10,7,8,9,10
349,izlash,qidirish,NOUN,435,syn,high,10,10,9,9,8,9,9,9,9,10,8,8,9,10,9,10,9,10,8,8,7,8,6,6
350,iymon,ishonch,NOUN,428,syn,high,6,10,9,9,6,8,9,9,2,8,8,9,2,8,7,8,7,7,8,6,7,8,5,8
351,ziddiyat,qarshilik,NOUN,427,syn,high,9,10,9,10,8,8,9,9,8,9,9,9,7,9,8,9,9,10,9,9,8,9,7,9
352,iqbol,kelajak,NOUN,419,syn,high,7,9,8,9,8,7,6,8,8,9,4,7,8,9,6,7,8,9,2,6,8,8,8,9
353,tavallud,farzand,NOUN,421,irr,high,2,7,3,8,4,9,2,9,5,8,3,7,8,9,2,7,1,7,2,8,0,2,3,6
354,tabassum,jilmayish,NOUN,404,syn,high,6,9,7,9,6,8,7,8,8,7,9,9,6,8,6,9,4,7,9,8,8,8,7,9
355,udum,odat,NOUN,403,syn,high,7,9,8,8,8,9,8,8,8,7,8,8,8,9,4,7,7,8,8,9,8,9,8,9
356,tugatish,tamomlash,NOUN,401,syn,high,9,9,10,10,8,9,7,8,9,9,9,9,7,8,7,10,8,9,8,8,8,9,8,9
357,muolaja,davolash,NOUN,397,syn,high,5,9,8,9,6,9,8,8,7,9,7,9,8,9,4,9,9,10,7,7,7,8,8,8
358,sulola,avlod,NOUN,390,syn,high,8,9,6,8,7,7,9,9,1,7,8,9,9,10,6,7,6,9,7,7,8,9,4,8
359,uyushqoqlik,birdamlik,NOUN,384,syn,high,8,9,8,10,8,9,8,10,8,9,7,7,9,9,6,9,9,9,7,8,7,9,8,9
360,mushohada,munozara,NOUN,382,syn,high,9,10,8,8,3,6,6,7,6,8,8,9,6,7,5,8,8,9,7,9,8,9,3,6
361,nafosat,go'zallik,NOUN,381,syn,high,8,10,6,8,8,9,9,9,9,10,8,9,9,10,9,9,8,9,8,10,8,9,8,9
362,ekspozitsiya,ko'rgazma,NOUN,375,syn,high,3,6,9,9,7,8,6,9,6,8,8,8,8,10,3,8,6,9,8,6,8,9,7,8
363,ekspeditsiya,sayohat,NOUN,374,syn,high,9,10,7,7,4,9,4,6,3,8,7,9,4,9,4,9,5,9,9,8,7,8,8,9
364,soxil,qirg'oq,NOUN,373,syn,oov2,10,10,7,9,8,9,9,9,9,10,9,9,9,10,9,10,8,9,8,6,8,9,3,6
365,tannarx,qiymat,NOUN,371,syn,high,3,7,4,8,8,7,8,9,7,9,1,9,8,10,6,9,4,7,7,8,8,9,4,8
366,zo'ravonlik,bosqinchilik,NOUN,370,syn,high,4,9,9,9,6,6,6,7,4,8,7,9,9,10,4,8,4,8,5,9,7,8,5,8
367,uchish,parvoz,NOUN,360,syn,high,1,9,8,9,8,10,8,8,0,9,7,8,6,7,8,10,8,8,8,7,8,9,8,8
368,asorat,qoldiq,NOUN,359,syn,high,4,9,3,3,3,6,4,4,6,9,8,9,2,6,3,6,2,5,2,4,8,9,3,6
369,dastgoh,jihoz,NOUN,355,syn,high,3,4,6,9,6,6,4,6,8,9,7,8,4,6,4,7,4,6,2,2,8,8,3,7
370,putur,zarar,NOUN,353,syn,high,4,6,8,9,9,10,5,5,7,8,8,9,7,8,3,5,6,7,2,0,7,8,4,7
371,tuzatish,ta'mirlash,NOUN,352,syn,high,8,10,7,8,7,9,7,9,8,8,9,9,9,9,6,9,9,10,7,8,8,9,6,8
372,astronomiya,falakiyot,NOUN,347,syn,high,9,10,8,9,8,9,10,10,9,10,9,9,8,9,10,10,9,10,9,10,7,8,8,9
373,hirmon,hosil,NOUN,346,syn,oov2,6,10,9,9,5,7,6,8,10,10,7,8,8,9,7,9,9,9,8,10,8,9,6,8
374,chehra,yuz,NOUN,337,syn,high,8,9,10,10,8,7,7,9,8,8,8,8,10,10,9,9,9,10,8,10,8,9,9,9
375,tozalik,ozadalik,NOUN,333,syn,high,8,9,9,9,8,9,8,10,8,9,10,10,10,10,9,10,10,10,8,8,8,9,9,9
376,aziyat,jarohat,NOUN,332,syn,high,2,6,4,8,6,6,3,5,2,5,6,9,2,5,2,3,1,4,0,7,8,8,4,6
377,badal,to'lov,NOUN,329,syn,high,5,7,5,7,5,8,4,9,5,9,8,8,4,8,6,8,4,7,4,8,8,9,7,8
378,mavqe,obro',NOUN,329,syn,high,8,10,8,9,8,8,8,10,6,8,9,9,4,7,7,9,4,6,7,8,7,8,9,9
379,insho,bayon,NOUN,325,syn,high,4,6,9,9,6,8,4,8,8,9,8,9,3,6,4,6,6,7,8,8,8,8,1,7
380,sarhad,chegara,NOUN,311,syn,high,6,8,7,9,6,7,6,9,10,10,7,7,7,8,7,9,7,8,8,8,7,8,4,6
