ID,Word-1,Word-2,Relation,POS,sim_avg,rel_avg,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11
799,mojaroviy,janjalli,syn,ADJ,7.36,8.45,8,8,7,8,6,8,6,6,7,9,8,8,8,8,10,8,8,7,8,10,9,9
800,mungli,qayg'uli,syn,ADJ,7.36,7.91,7,7,7,6,8,7,9,8,7,9,6,8,8,9,7,8,8,6,10,8,8,7
801,nosog',kasal,syn,ADJ,7.82,8.09,8,8,7,6,7,8,9,7,10,8,8,9,9,8,7,8,9,7,10,6,7,9
802,oriyatli,g'ururli,syn,ADJ,8.45,9.18,8,10,9,8,8,9,9,9,9,8,6,8,10,10,9,8,9,10,10,10,8,9
803,qiltiriq,oriq,syn,ADJ,8.00,8.45,8,9,7,7,9,9,7,7,9,8,8,9,9,8,7,8,10,8,9,8,8,9
804,qomatdor,salobatli,syn,ADJ,8.18,7.09,7,7,7,9,8,7,9,10,9,10,7,9,7,6,7,6,8,6,8,9,6,6
805,sabrsiz,betoqat,syn,ADJ,8.27,9.09,9,9,7,8,7,9,8,9,9,8,8,9,9,8,8,9,10,8,10,10,10,9
806,suxsur,chiroyli,syn,ADJ,7.73,8.73,6,9,7,8,6,7,8,10,8,8,8,9,9,9,9,8,8,10,7,9,10,8
807,tilyog'lama,makkor,syn,ADJ,7.55,8.27,9,7,6,8,9,7,9,6,8,8,6,9,9,7,9,8,7,10,8,9,6,9
808,toqatli,chidamli,syn,ADJ,7.36,8.09,9,8,7,6,8,8,9,6,6,8,6,10,9,8,6,8,9,7,7,8,8,9
809,tubsiz,chuqur,syn,ADJ,8.27,9.27,8,9,9,9,7,8,8,8,8,9,8,9,9,9,10,9,9,9,10,9,10,9
810,uqubatli,dardli,syn,ADJ,7.09,8.09,9,7,7,6,6,8,7,7,8,6,7,9,9,8,7,8,10,6,9,8,7,8
811,uyqusiz,bedor,syn,ADJ,8.45,9.18,9,10,7,6,8,8,10,9,9,8,9,10,10,9,8,9,8,10,10,10,8,9
812,vaxshiyona,shafqatsiz,syn,ADJ,7.82,9.00,8,9,8,8,6,9,8,8,7,7,8,9,10,9,8,9,9,9,10,8,9,9
813,xafahol,g'amgin,syn,ADJ,7.55,8.27,9,7,7,7,6,9,9,6,6,8,9,9,8,8,7,8,10,8,10,6,8,9
814,zehnli,aqlli,syn,ADJ,7.91,9.09,7,9,8,8,9,9,8,6,7,8,8,8,10,9,8,8,10,9,9,9,11,9
815,dastlab,avval,syn,ADJ,8.09,8.45,9,8,9,6,6,10,8,8,8,9,8,10,9,6,9,7,10,7,9,9,8,9
816,biroz,ozgina,syn,ADJ,7.09,8.00,9,6,6,6,8,8,6,7,8,6,8,9,7,7,7,8,9,6,9,9,8,9
817,oldingi,avalgi,syn,ADJ,7.45,7.91,9,6,8,6,6,8,9,7,6,9,8,10,7,7,6,6,9,9,8,7,9,9
818,mamlakat,davlat,syn,NOUN,8.00,9.09,9,10,6,7,9,8,8,8,9,8,6,10,10,9,9,10,9,9,9,10,8,7
819,soha,yo'nalish,syn,NOUN,7.73,8.73,8,8,8,8,7,8,8,7,8,8,7,9,9,9,8,8,8,9,9,9,10,8
820,jamiyat,davlat,syn,NOUN,7.18,9.09,9,7,7,9,6,6,8,6,9,6,6,10,10,9,7,9,7,10,10,8,10,10
821,talaba,o'quvchi,syn,NOUN,7.82,8.91,8,9,8,8,9,7,7,9,8,7,6,9,10,8,8,10,9,9,10,9,8,8
822,muassasa,tashkilot,syn,NOUN,8.18,9.27,8,9,8,7,9,9,8,10,7,8,7,10,10,9,8,10,10,9,10,9,9,8
823,narsa,buyum,syn,NOUN,8.82,9.36,10,9,9,8,9,8,8,10,9,9,8,10,10,9,9,10,10,10,10,9,7,9
824,maydon,joy,syn,NOUN,7.00,7.64,7,6,8,6,6,7,8,7,8,8,6,9,6,7,7,8,7,10,8,6,8,8
825,taraqqiyot,rivojlanish,syn,VERB,8.55,9.36,8,8,8,9,9,10,9,9,7,8,9,10,10,9,9,10,10,9,10,9,8,9
826,ishtirokchi,qatnashuvchi,syn,NOUN,8.64,9.09,8,9,9,9,8,8,9,10,9,8,8,9,10,10,9,8,9,9,10,9,8,9
827,shartnoma,kelishuv,syn,VERB,7.55,8.09,9,7,8,6,6,9,6,10,7,9,6,10,8,8,9,8,9,8,7,7,8,7
828,boshqarma,vazirklik,syn,NOUN,6.73,8.18,6,7,6,7,6,8,9,7,6,6,6,9,8,7,9,8,8,9,10,7,8,7
829,resurs,manba,syn,NOUN,8.91,9.36,8,10,9,8,9,9,9,10,9,9,8,10,10,10,8,10,10,9,10,10,7,9
830,komissiya,nazoratchi,syn,NOUN,7.36,8.09,8,6,8,6,7,8,7,7,9,6,9,10,6,7,7,7,8,7,9,9,10,9
831,poytaxt,markaz,syn,NOUN,7.64,7.91,9,7,6,10,7,8,7,8,6,8,8,10,8,8,7,6,9,6,6,9,9,9
832,tehnika,qurilma,syn,NOUN,7.82,8.36,9,7,6,9,8,8,7,9,8,8,7,10,8,7,6,9,10,9,10,7,8,8
833,muhokama,munozara,syn,NOUN,7.27,8.73,9,9,6,7,6,8,7,6,8,6,8,10,10,8,8,9,9,8,8,9,8,9
834,anjuman,yig'ilish,syn,VERB,7.27,8.09,7,6,7,8,6,8,8,8,6,8,8,9,7,8,10,7,8,9,10,7,6,8
835,xukumat,davlat,syn,NOUN,7.82,8.45,8,9,8,8,8,7,8,8,6,8,8,10,9,6,9,9,8,9,10,8,6,9
836,barpo,bunyod,syn,NOUN,8.00,7.64,8,7,8,8,6,10,8,8,8,9,8,9,8,8,6,6,10,9,6,8,6,8
837,film,kino,syn,NOUN,8.36,9.27,10,9,7,9,9,8,9,9,8,8,6,10,10,8,10,8,10,10,10,9,8,9
838,jamoatchilik,aholi,syn,NOUN,8.45,7.73,8,9,9,8,6,9,9,9,9,9,8,10,6,7,10,8,9,6,6,7,10,6
839,ko'rsatkich,natija,syn,NOUN,6.91,7.73,8,6,6,9,6,8,6,6,6,8,7,9,7,8,6,7,9,7,9,8,8,7
840,uyushma,tashkilot,syn,NOUN,7.55,8.55,9,7,7,6,8,10,8,9,6,7,6,10,8,8,8,9,8,9,10,7,9,8
841,istiqlol,mustaqillik,syn,NOUN,7.73,8.64,9,10,6,6,6,9,8,6,8,9,8,10,10,7,8,7,9,9,9,9,9,8
842,vaziyat,holat,syn,NOUN,8.09,9.27,8,8,8,8,8,7,9,10,9,8,6,9,9,9,9,10,8,10,10,10,10,8
843,moliya,iqtisod,syn,NOUN,6.91,7.18,7,6,7,8,7,6,6,6,7,8,8,9,8,7,8,7,6,6,7,6,6,9
844,tarona,musiqa,syn,NOUN,8.55,9.45,7,10,7,10,9,9,7,10,9,8,8,10,10,8,10,10,10,10,10,9,9,8
845,fond,jamg'arma,syn,NOUN,8.36,9.00,7,9,9,9,9,8,9,10,8,6,8,9,9,9,10,9,8,9,10,9,8,9
846,boshliq,rahbar,syn,NOUN,8.09,8.73,9,10,8,6,9,8,8,7,8,8,8,10,10,7,8,9,9,9,10,8,8,8
847,yagona,yolg'iz,syn,NOUN,8.27,9.00,9,10,7,8,8,9,7,8,8,8,9,10,10,8,7,9,10,8,9,8,10,10
848,avtomobil,mashina,syn,NOUN,8.73,9.36,8,9,9,9,10,8,10,9,9,8,7,10,10,9,10,10,9,10,10,10,7,8
849,mintaqa,xudud,syn,NOUN,7.27,7.82,8,6,7,8,9,8,8,6,6,7,7,9,6,8,9,6,9,9,8,7,6,9
850,ehtiyoj,zarurat,syn,NOUN,8.27,9.09,9,10,6,9,8,9,8,6,10,8,8,9,10,8,9,10,10,10,9,7,9,9
851,maxkama,idora,syn,NOUN,7.27,8.27,9,8,7,8,6,7,6,9,6,8,6,9,8,9,8,7,9,8,10,7,8,8
852,farovonlik,tinchlik,syn,NOUN,8.55,9.55,9,8,8,9,9,9,9,7,9,8,9,9,10,9,10,10,9,10,10,10,9,9
853,muloqot,suhbat,syn,NOUN,7.64,8.64,9,8,7,7,7,8,7,6,10,6,9,10,8,9,9,9,9,8,9,7,8,9
854,energiya,kuch,syn,NOUN,7.36,7.55,7,7,6,6,6,8,9,8,8,9,7,9,8,7,7,8,8,7,7,7,6,9
855,tijorat,savdo,syn,NOUN,8.82,9.55,7,10,9,9,8,8,9,10,10,9,8,9,10,10,10,9,8,10,10,10,10,9
856,xotira,yod,syn,NOUN,7.27,8.18,7,7,7,7,8,8,9,6,7,8,6,9,9,8,7,9,10,9,7,8,8,6
857,marosim,tadbir,syn,NOUN,7.18,8.09,7,6,7,6,8,8,8,6,7,8,8,9,8,7,8,9,9,8,9,8,6,8
858,erkinlik,mustaqillik,syn,NOUN,7.82,8.36,8,7,10,7,8,8,6,8,8,7,9,10,9,6,8,7,9,8,10,8,8,9
859,mijoz,xaridor,syn,NOUN,9.27,9.55,9,10,9,10,9,8,9,10,10,9,9,10,10,9,10,9,8,10,10,10,10,9
860,narx,baho,syn,NOUN,9.09,9.09,10,9,10,9,8,9,9,8,9,8,11,10,10,10,9,8,9,10,10,10,7,7
861,xonanda,qo'shiqchi,syn,NOUN,8.36,9.00,8,9,8,10,9,8,8,10,6,8,8,10,10,7,10,8,8,8,10,8,9,11
862,maskan,joy,syn,NOUN,7.00,7.64,8,7,6,9,6,8,7,8,6,6,6,9,8,7,7,8,9,8,7,6,7,8
863,inshoot,bino,syn,NOUN,7.91,9.09,9,9,7,8,6,8,9,8,8,7,8,10,10,9,9,8,9,9,9,10,8,9
864,kamchilik,nuqson,syn,NOUN,7.18,7.91,9,6,7,7,6,9,9,6,8,6,6,9,8,8,8,7,9,10,6,6,8,8
865,konferensiya,anjuman,syn,NOUN,8.18,9.36,8,10,9,9,7,8,7,9,8,8,7,10,10,9,9,9,10,9,10,10,8,9
866,tasavvur,xayol,syn,NOUN,7.27,8.18,8,7,8,7,6,7,9,6,8,6,8,9,8,7,7,8,8,10,6,9,10,8
867,tamoyil,yondashuv,syn,NOUN,7.45,8.45,7,8,8,8,8,6,8,9,8,6,6,8,9,9,10,8,6,10,10,9,6,8
868,kommunikatsiya,aloqa,syn,NOUN,8.00,8.91,8,8,8,9,7,7,8,7,9,9,8,10,9,8,9,8,8,10,10,8,9,9
869,takomillashtirish,rivojlanish,syn,VERB,8.00,8.00,8,9,8,9,8,7,7,10,6,8,8,9,9,9,9,8,7,9,6,7,6,9
870,hodisa,voqea,syn,NOUN,8.36,8.91,9,10,9,8,9,7,9,8,8,7,8,9,10,9,8,10,7,10,10,9,8,8
871,darslik,manba,syn,NOUN,8.00,7.55,7,7,9,6,9,6,10,9,8,8,9,9,6,6,8,9,10,8,6,7,6,8
872,matn,yozuv,syn,NOUN,7.09,8.18,7,8,6,9,6,7,7,6,6,7,9,9,10,8,10,9,7,8,6,7,8,8
873,urush,jang,syn,NOUN,8.00,8.82,9,7,9,7,9,7,7,10,8,9,6,9,10,9,8,10,8,7,8,10,10,8
874,ahvol,holat,syn,NOUN,7.91,8.73,8,7,8,8,9,8,8,6,9,8,8,9,8,7,9,9,9,9,9,10,8,9
875,boylik,mulk,syn,NOUN,7.55,8.91,8,8,8,7,8,7,7,9,7,6,8,9,10,8,8,8,9,10,8,9,10,9
876,birlashma,uyushma,syn,NOUN,7.55,8.45,6,9,6,9,9,9,6,9,6,6,8,9,9,7,9,10,9,7,10,8,6,9
877,qatnashchi,ishtirokchi,syn,NOUN,8.91,9.27,8,9,8,10,9,9,9,8,9,9,10,9,9,9,10,10,10,8,7,10,10,10
878,oziq-ovqat,yegulik,syn,NOUN,7.91,8.82,8,8,7,8,9,9,7,8,8,6,9,10,9,8,8,10,9,9,9,8,8,9
879,to'plam,uyum,syn,NOUN,8.00,7.91,7,9,7,8,8,8,8,8,8,8,9,9,9,8,7,8,9,10,7,6,6,8
880,honadon,hovli,syn,NOUN,8.27,9.36,9,9,7,9,8,8,8,9,10,6,8,10,10,8,9,9,10,10,10,10,8,9
881,buyum,narsa,syn,NOUN,8.36,9.18,10,7,8,9,8,8,9,9,8,7,9,10,9,10,9,9,9,10,10,8,8,9
882,majburiyat,burch,syn,NOUN,7.73,7.64,7,8,8,6,10,8,9,9,6,8,6,10,9,8,7,6,9,10,6,7,6,6
883,ulush,qism,syn,NOUN,8.00,7.36,9,9,10,8,7,8,8,9,7,7,6,9,8,7,9,6,8,6,7,8,7,6
884,toifa,tur,syn,NOUN,7.18,7.64,9,8,6,6,6,9,6,8,9,6,6,10,8,7,7,7,9,6,9,6,7,8
885,ko'nikma,tajriba,syn,NOUN,8.18,9.00,9,9,8,9,9,10,9,6,8,6,7,10,10,9,8,10,10,9,9,8,7,9
886,tafakkur,fikr,syn,NOUN,7.91,8.09,8,7,9,6,8,7,10,7,8,9,8,9,7,7,8,8,7,10,8,7,9,9
887,saroy,qasr,syn,NOUN,7.82,8.64,7,8,7,8,8,9,9,9,7,6,8,10,9,9,9,8,9,7,10,8,7,9
888,saviya,martaba,syn,NOUN,7.00,8.18,6,8,6,6,6,7,8,9,8,7,6,9,8,9,6,6,8,9,10,9,8,8
889,doimo,muntazam,syn,NOUN,7.18,7.73,9,7,6,6,7,8,6,6,9,9,6,10,7,8,7,7,9,8,6,7,8,8
890,bunyodkorlik,qurilish,syn,VERB,7.18,8.18,7,8,8,6,7,7,8,9,6,6,7,10,9,9,7,8,8,9,7,7,8,8
891,noyob,kamyob,syn,NOUN,8.09,9.27,9,7,8,8,9,8,9,9,6,8,8,10,9,8,9,10,9,10,10,10,8,9
892,jadval,reja,syn,NOUN,7.27,8.00,6,8,7,8,9,7,6,6,6,9,8,9,8,8,9,9,7,7,9,7,6,9
893,g'amxo'rlik,qayg'urish,syn,VERB,8.18,8.18,9,7,7,8,8,10,8,8,8,9,8,9,8,8,9,7,10,6,6,10,8,9
894,yo'llanma,yo'riqnoma,syn,NOUN,7.82,7.27,6,6,9,7,10,10,8,7,8,8,7,9,7,7,6,8,7,6,8,6,7,9
895,xamyurt,yurtdosh,syn,NOUN,9.00,9.45,9,10,9,10,10,8,9,9,9,8,8,10,10,9,10,9,9,10,10,10,8,9
896,organizm,jism,syn,NOUN,7.36,8.00,7,8,8,7,9,8,6,6,8,8,6,9,9,7,7,8,9,7,9,9,6,8
897,tahsil,ta'lim,syn,NOUN,8.45,9.09,8,10,10,8,9,8,8,7,8,9,8,9,10,9,10,9,9,9,9,9,8,9
898,maishiy,xo'jalik,syn,NOUN,7.82,7.64,7,6,8,6,8,8,8,8,9,9,9,9,7,6,7,8,7,8,7,8,9,8
899,faxriy,martabali,syn,NOUN,8.09,7.64,8,8,8,10,6,8,10,8,9,6,8,10,6,7,8,7,8,7,9,6,7,9
900,hamjamiyat,hukumati,syn,NOUN,9.00,8.36,11,10,9,9,10,7,8,7,10,9,9,9,6,6,6,9,10,9,10,9,8,10
901,raqs,o'yin,syn,NOUN,7.18,7.00,9,6,7,9,6,6,7,6,9,8,6,6,9,7,6,6,9,8,7,6,7,6
902,insoniyat,odamzod,syn,NOUN,8.55,9.27,9,10,8,8,8,7,9,9,9,8,9,10,10,9,9,9,7,10,10,10,9,9
903,dunyoqarash,tafakkur,syn,NOUN,7.27,8.45,8,7,7,7,6,7,7,8,9,6,8,9,9,8,9,8,9,8,8,9,7,9
904,yoshlik,navqiron,syn,NOUN,7.45,8.00,7,8,8,8,6,8,6,8,7,8,8,10,9,9,9,8,8,7,6,9,6,7
905,ijrochi,bajaruvchi,syn,NOUN,7.64,8.27,7,7,8,6,6,8,9,8,9,9,7,9,7,9,8,7,9,9,9,9,6,9
906,yurtdosh,hamyurt,syn,NOUN,8.18,9.45,9,10,8,9,8,9,8,9,8,6,6,10,10,9,10,10,10,10,10,9,8,8
907,mezon,nizom,syn,NOUN,7.45,8.73,8,7,7,8,7,7,7,8,7,8,8,9,9,8,10,8,8,9,9,8,10,8
908,topshiriq,vazifa,syn,NOUN,7.82,8.36,9,10,8,6,7,8,6,6,10,8,8,10,10,9,8,8,9,7,8,6,8,9
909,libos,kiyim,syn,NOUN,8.09,8.00,10,6,6,6,7,7,10,10,10,8,9,10,8,7,8,8,6,10,6,8,7,10
910,sarmoya,mablag',syn,NOUN,7.09,8.45,7,8,7,7,6,8,7,7,6,8,7,10,10,8,9,7,10,8,7,9,7,8
911,tinglovchi,eshituvchi,syn,NOUN,8.00,9.09,9,9,9,6,8,7,8,9,9,8,6,10,10,9,8,9,7,10,10,10,8,9
912,okrug,xudud,syn,NOUN,7.18,7.73,8,6,6,6,8,8,8,8,6,8,7,9,7,6,7,9,8,10,7,6,8,8
913,o'tmish,tarix,syn,NOUN,8.00,8.91,7,9,8,9,7,9,9,7,8,9,6,9,10,9,10,9,9,9,9,9,7,8
914,so'rov,so'roq,syn,NOUN,8.00,8.55,7,9,8,8,8,7,7,8,9,9,8,9,10,8,9,8,8,9,8,9,7,9
915,timsol,ramz,syn,NOUN,7.55,8.27,8,9,8,6,8,8,7,9,8,6,6,10,10,8,7,7,10,8,10,6,7,8
916,mag'lubiyat,yutqazish,syn,VERB,7.91,8.91,9,9,7,8,8,9,6,9,7,6,9,10,9,9,8,8,9,8,10,9,8,10
917,vafot,o'lim,syn,NOUN,9.00,9.55,10,9,9,10,9,8,9,9,9,8,9,10,9,10,10,10,9,10,10,9,8,10
918,mutasaddi,javobgar,syn,NOUN,7.09,8.55,7,7,7,7,9,6,8,7,7,7,6,10,9,8,8,8,8,10,9,8,8,8
919,tushish,pastlash,syn,VERB,7.64,8.09,8,6,6,8,9,9,8,9,8,7,6,10,8,8,7,8,8,9,6,8,9,8
920,shifohona,kasalxona,syn,NOUN,9.18,9.18,10,10,10,9,8,9,9,9,9,8,10,10,10,10,9,9,9,9,10,10,8,7
921,asbob,uskuna,syn,NOUN,6.82,8.45,5,8,6,7,6,7,7,7,8,8,6,10,10,7,6,8,8,10,9,9,8,8
922,ajratish,bo'laklash,syn,NOUN,7.09,7.09,9,6,7,6,8,9,6,9,6,6,6,8,6,7,7,6,9,6,6,7,7,9
923,xastalik,kasallik,syn,NOUN,8.64,9.09,10,10,9,8,8,8,10,9,8,7,8,10,10,8,8,9,9,10,10,8,9,9
924,tahdid,qo'rqitish,syn,NOUN,7.45,7.82,8,8,7,7,6,7,8,7,9,8,7,10,8,8,6,6,8,6,10,9,7,8
925,sayyoh,sayohatchi,syn,NOUN,8.73,9.36,8,9,9,9,9,8,8,10,8,9,9,10,9,9,9,9,10,10,10,10,10,7
926,obida,imorat,syn,NOUN,8.18,7.55,7,7,6,7,9,7,10,10,9,8,10,10,9,6,9,6,8,6,7,7,7,8
927,xayriya,saxovat,syn,NOUN,7.64,9.00,8,10,6,8,6,8,8,8,6,8,8,9,10,8,9,8,9,9,10,9,10,8
928,turizm,sayohat,syn,NOUN,6.73,8.55,7,7,7,6,8,5,6,6,6,9,7,10,9,9,9,8,7,9,8,9,7,9
929,rusum,toifa,syn,NOUN,7.73,7.09,8,8,8,8,8,8,8,7,7,7,8,8,8,9,6,6,8,6,6,6,6,9
930,kuzatuvchi,nazoratchi,syn,NOUN,8.18,8.00,9,6,9,9,8,10,7,9,9,6,8,10,8,6,7,8,10,8,7,7,8,9
931,andoza,namuna,syn,NOUN,8.18,9.09,10,10,7,8,10,8,9,6,6,8,8,10,10,9,10,10,9,10,7,8,8,9
932,ezgulik,yaxshilik,syn,NOUN,7.82,8.82,9,8,7,7,8,8,7,7,8,9,8,10,9,9,8,9,9,8,9,9,8,9
933,iftixor,g'urur,syn,NOUN,8.64,9.00,10,10,8,10,7,8,9,9,7,8,9,10,10,8,9,8,9,9,10,9,8,9
934,voxa,vodiy,syn,NOUN,8.00,7.64,7,9,9,8,6,8,8,7,8,8,10,9,8,9,6,6,8,9,7,6,9,7
935,ashyo,buyum,syn,NOUN,8.45,9.09,10,9,9,7,9,6,9,8,10,8,8,10,9,9,8,10,8,10,10,10,7,9
936,maktub,xat,syn,NOUN,9.00,9.18,9,10,8,8,8,8,11,10,9,9,9,10,10,9,9,10,8,8,10,10,8,9
937,bitim,kelishuv,syn,VERB,7.45,8.73,7,8,8,9,6,8,9,6,7,8,6,10,8,9,9,8,9,9,7,9,10,8
938,makon,joy,syn,NOUN,7.09,7.91,7,8,6,6,9,7,8,6,7,8,6,10,8,7,7,9,7,8,8,8,8,7
939,turar-joy,hovli,syn,NOUN,8.36,8.82,8,10,9,8,7,7,8,10,8,9,8,10,10,9,9,8,9,10,7,9,7,9
940,diyor,yurt,syn,NOUN,7.64,8.36,7,8,7,7,6,8,9,10,6,7,9,9,10,7,8,6,9,10,8,8,9,8
941,halokat,falokat,syn,NOUN,8.45,9.27,10,10,8,8,7,8,8,8,9,8,9,10,10,9,9,8,9,10,10,10,8,9
942,tavallud,tug'ilish,syn,VERB,7.09,8.64,9,6,6,7,7,9,8,7,6,7,6,10,8,7,10,9,9,9,9,8,9,7
943,sado,tovush,syn,NOUN,7.36,8.27,8,8,6,9,7,8,8,6,6,6,9,10,9,8,8,10,8,9,8,7,8,6
944,maqbara,sag'ana,syn,NOUN,7.55,7.45,7,7,9,9,9,7,7,6,8,6,8,9,9,6,7,6,7,9,6,8,8,7
945,qo'lyozma,bitik,syn,NOUN,8.36,7.82,9,10,8,8,8,7,9,9,9,7,8,10,8,9,9,8,9,7,6,8,6,6
946,muddao,maqsad,syn,NOUN,7.36,8.18,9,7,6,8,8,9,6,6,8,6,8,10,9,6,10,9,9,8,7,8,6,8
947,ayyom,bayram,syn,NOUN,7.82,8.91,6,8,6,9,9,10,7,6,8,8,9,8,10,8,9,10,10,8,9,8,9,9
948,mutafakkir,olim,syn,NOUN,7.64,8.55,7,8,6,8,7,10,7,9,6,8,8,9,9,8,8,9,10,8,10,7,7,9
949,dugona,do'st,syn,NOUN,7.36,8.73,7,9,8,7,8,6,8,7,6,8,7,10,9,9,8,10,8,9,9,7,9,8
950,soniya,lahza,syn,NOUN,9.00,9.45,9,9,9,9,10,8,9,9,9,9,9,10,10,8,9,10,8,10,10,10,10,9
951,tomorqa,dala,syn,NOUN,6.91,9.00,7,8,7,8,6,5,6,8,6,8,7,10,9,8,10,9,10,8,7,10,10,8
952,tuhfa,sovg'a,syn,NOUN,8.27,9.27,8,10,8,8,9,9,10,8,7,8,6,10,10,9,9,9,10,10,9,8,8,10
953,ummon,okean,syn,NOUN,8.64,9.55,9,10,9,10,8,7,8,10,9,7,8,10,10,10,10,10,8,10,10,10,8,9
954,mutoala,o'qish,syn,NOUN,8.00,9.36,8,6,8,7,8,7,9,9,8,10,8,10,9,9,9,8,10,10,10,10,8,10
955,bayonot,xabar,syn,NOUN,6.91,7.73,7,7,6,8,7,8,7,6,6,6,8,10,7,6,10,8,8,8,7,6,6,9
956,ziyoratgoh,qadamjo,syn,NOUN,7.09,7.64,9,8,6,6,6,8,7,9,6,7,6,10,9,7,8,7,8,8,8,7,6,6
957,muhimlik,zaruriy,syn,NOUN,6.91,7.64,6,8,7,6,6,8,7,8,7,6,7,9,8,7,6,7,10,6,7,9,7,8
958,ekstremizm,ko'poruvchilik,syn,NOUN,8.27,8.82,9,9,7,9,8,7,8,7,10,8,9,10,10,8,10,8,7,9,8,10,8,9
959,tushum,foyda,syn,NOUN,7.73,9.00,7,7,7,7,6,9,8,8,9,8,9,9,9,9,8,8,9,9,9,9,10,10
960,izlash,qidirish,syn,VERB,8.91,9.45,10,9,8,9,9,8,9,9,9,8,10,10,9,9,9,10,8,10,10,10,8,11
961,iymon,ishonch,syn,NOUN,7.91,8.18,6,9,6,9,9,8,9,7,7,8,9,10,9,8,9,8,9,8,8,7,6,8
962,ziddiyat,qarshilik,syn,NOUN,8.36,9.18,9,9,8,9,8,9,7,8,9,9,7,10,10,8,9,9,9,9,9,10,9,9
963,tavallud,farzand,irr,NOUN,2.73,7.73,2,3,4,2,5,3,3,2,1,2,3,7,8,9,9,8,7,9,7,7,8,6
964,iqbol,kelajak,syn,NOUN,7.55,8.09,7,8,8,6,8,9,8,6,8,7,8,9,9,7,8,9,7,9,7,9,6,9
965,xodim,rahbar,syn,NOUN,6.91,7.00,6,6,7,7,8,8,8,8,6,6,6,7,6,9,6,8,6,6,7,7,7,8
966,tabassum,jilmayish,syn,VERB,7.00,8.27,6,7,6,7,8,9,6,6,6,9,7,9,9,8,8,7,9,8,9,7,8,9
967,udum,odat,syn,NOUN,8.00,8.27,7,8,8,8,8,8,8,10,7,8,8,9,8,9,8,7,8,9,7,8,9,9
968,tugatish,tamomlash,syn,VERB,8.18,8.91,9,10,8,7,9,9,7,7,8,8,8,9,10,9,8,9,9,8,10,9,8,9
969,muolaja,davolash,syn,VERB,7.64,8.73,9,8,6,8,7,7,8,7,9,7,8,9,9,9,8,9,9,9,9,10,7,8
970,sulola,avlod,syn,NOUN,8.18,8.18,8,6,7,9,9,8,9,9,9,7,9,9,8,7,9,7,9,10,7,9,7,8
971,uyushqoqlik,birdamlik,syn,NOUN,7.82,8.91,8,8,8,8,8,7,9,6,9,7,8,9,10,9,10,9,7,9,9,9,8,9
972,mushohada,munozara,syn,NOUN,7.64,7.91,9,8,8,6,6,8,6,8,8,7,10,10,8,6,7,8,9,7,8,9,9,6
973,nafosat,go'zallik,syn,NOUN,8.18,9.27,8,6,8,9,9,8,9,9,8,8,8,10,8,9,9,10,9,10,9,9,10,9
974,ekspozitsiya,ko'rgazma,syn,NOUN,7.45,8.09,8,9,7,6,6,8,8,9,6,8,7,6,9,8,9,8,8,10,8,9,6,8
975,ekspeditsiya,sayohat,syn,NOUN,7.18,8.45,9,7,7,6,7,7,6,7,6,9,8,10,7,9,6,8,9,9,9,9,8,9
976,soxil,qirg'oq,syn,NOUN,8.64,9.45,10,7,8,9,9,9,9,9,8,8,9,10,9,9,9,10,9,10,10,9,11,8
977,tannarx,qiymat,syn,NOUN,8.18,8.27,9,8,8,8,7,8,8,9,9,7,9,7,8,7,9,9,9,10,9,7,8,8
978,zo'ravonlik,bosqinchilik,syn,NOUN,8.00,8.27,10,9,6,6,10,7,9,7,9,6,9,9,9,6,7,8,9,10,8,8,9,8
979,uchish,parvoz,syn,NOUN,8.00,8.45,9,8,8,8,9,7,7,8,8,8,8,9,9,10,8,9,8,7,10,8,7,8
980,asorat,qoldiq,syn,NOUN,7.00,7.09,6,6,7,8,6,8,8,7,6,6,9,9,6,6,9,9,9,6,6,6,6,6
981,dastgoh,jihoz,syn,NOUN,8.45,7.45,10,6,6,7,8,7,9,10,10,10,10,9,9,6,6,9,8,6,7,6,9,7
982,putur,zarar,syn,NOUN,7.64,7.91,8,8,8,8,7,8,7,8,6,8,8,6,9,10,9,8,9,8,7,7,7,7
983,tuzatish,ta'mirlash,syn,VERB,7.55,8.82,8,7,7,7,8,9,9,6,9,7,6,10,8,9,9,8,9,9,9,10,8,8
984,astronomiya,falakiyot,syn,NOUN,8.82,9.55,9,8,8,10,9,9,8,10,9,9,8,10,9,9,10,10,9,9,10,10,10,9
985,hirmon,hosil,syn,NOUN,7.82,8.82,6,9,10,6,10,7,8,7,9,8,6,10,9,7,8,10,8,9,9,9,10,8
986,chehra,yuz,syn,NOUN,8.55,9.00,8,10,8,7,8,8,10,9,9,8,9,9,10,7,9,8,8,10,9,10,10,9
987,tozalik,ozadalik,syn,NOUN,8.82,9.36,8,9,8,8,8,10,10,9,10,8,9,9,9,9,10,9,10,10,10,10,8,9
988,aziyat,jarohat,syn,NOUN,7.18,6.91,7,6,6,6,8,6,8,9,7,9,7,6,8,6,8,6,9,6,6,8,7,6
989,badal,to'lov,syn,NOUN,7.64,7.91,7,10,8,8,8,8,7,6,9,6,7,7,7,8,9,9,8,8,8,7,8,8
990,mavqe,obro',syn,NOUN,7.91,8.45,8,8,8,8,6,9,8,7,9,7,9,10,9,8,10,8,9,7,9,6,8,9
