WORD,POS,TYPE,Count in Pairs,Word Frq in Corpus,Word Frq Level
kovlashtir,VERB,inflectional,1,2,low
ko'ylak,NOUN,root,1,1536,high
ko'z,NOUN,root,1,88,high
ko'zdan kechir,VERB,inflectional,1,6,med
ko'zgu,NOUN,root,1,464,high
ko'ziojiz,NOUN,root,1,18,med
kredit,NOUN,root,1,329,high
kuch,NOUN,root,1,4079,high
kuchaytir,VERB,inflectional,2,2,low
kuchli,ADJ,derivational,3,11,med
kuchsizlantir,VERB,inflectional,1,37,med
kulba,NOUN,root,2,43,med
kulimsira,VERB,derivational,1,28,med
kulish,NOUN,inflectional,2,32,med
kulolchilik,NOUN,derivational,2,347,high
kulrang,NOUN,derivational,2,112,high
kunchiqar,NOUN,inflectional,2,130,high
kundoshlik,NOUN,derivational,1,1,oov
kunduzgi,NOUN,root,1,335,high
kungaboqar,NOUN,derivational,2,116,high
kursant,NOUN,root,1,277,high
kuydir,VERB,inflectional,1,77,low
kuylak,NOUN,root,1,30,med
kuzatuvchi,NOUN,derivational,1,1150,high
lafzsizlik,NOUN,inflectional,1,1,low
lahza,NOUN,root,1,568,high
lalmikorlik,NOUN,derivational,1,4,oov
langar,NOUN,root,1,82,high
laqillat,VERB,inflectional,1,21,med
latifago'y,NOUN,derivational,1,2,oov
latofatli,ADJ,derivational,2,198,high
lavozim,NOUN,root,4,2891,high
lazzatli,ADJ,derivational,1,1,low
leytenant,NOUN,root,1,107,high
libos,NOUN,root,2,1536,high
lichinka,NOUN,root,1,211,high
lirik,ADJ,root,1,334,oov2
lochin,NOUN,root,1,176,high
loqaydlik,NOUN,derivational,1,217,high
loviya,NOUN,root,1,59,high
loy,NOUN,root,1,347,high
loyqalat,VERB,inflectional,1,3,low
luqma,NOUN,root,1,55,high
mablag',NOUN,root,1,1535,high
madorsiz,ADJ,inflectional,2,9,med
mafkuraviy,ADJ,derivational,1,18470,high
mag'lubiyat,NOUN,root,2,1383,high
mahalla,NOUN,root,1,14054,high
mahalliy,ADJ,derivational,2,26162,high
mahbus,ADJ,root,2,115,oov2
mahkam,ADJ,root,1,213,oov2
mahkum,ADJ,root,1,226,oov2
maishiy,NOUN,derivational,1,1852,high
majburiyat,NOUN,root,1,2476,high
makkor,ADJ,root,1,1,low
makon,NOUN,root,1,889,high
maktab,NOUN,root,1,351,high
maktub,NOUN,root,1,943,high
malakali,ADJ,derivational,1,25,med
malla,ADJ,root,1,31,med
mamlakat,NOUN,root,2,53187,high
manba,NOUN,root,2,6913,high
mandarin,NOUN,root,1,51,high
manfaatli,ADJ,derivational,1,61,high
manfiy,ADJ,root,1,86,high
manfur,ADJ,root,1,37,med
mangulik,NOUN,derivational,1,80,high
manman,ADJ,root,2,12,med
manti,NOUN,root,2,22,med
mantiq,NOUN,root,1,48,med
manzara,NOUN,root,1,346,high
maosh,NOUN,root,2,578,high
maqbara,NOUN,root,1,627,high
maqsad,NOUN,root,1,616,high
maraz,NOUN,root,1,8,med
mardlik,NOUN,derivational,1,298,high
markaz,NOUN,root,1,6556,high
marosim,NOUN,root,1,3741,high
martaba,NOUN,root,1,2205,high
martabali,NOUN,derivational,1,1804,high
marvarid,NOUN,root,2,69,high
masala,NOUN,root,1,161,high
masalliq,NOUN,derivational,1,111,high
mashhur,ADJ,root,1,4404,high
mashina,NOUN,root,4,4364,high
mashq,NOUN,root,1,2,low
maskan,NOUN,root,1,3562,high
maslakdosh,NOUN,derivational,1,80,high
masnaviy,NOUN,root,1,44,med
masofa,NOUN,root,2,1130,high
matematika,NOUN,root,4,1502,high
matlab,NOUN,root,1,17,med
matn,NOUN,root,3,3087,high
mato,NOUN,root,3,125,high
mavhumlashtirish,VERB,inflectional,1,7,oov
mavjlantir,VERB,inflectional,2,3,low
mavqe,NOUN,root,1,329,high
mavxum,ADJ,root,1,11,med
maxalliy,ADJ,derivational,1,7484,oov2
maxalliylashtir,VERB,inflectional,1,710,oov2
maxkama,NOUN,root,1,4196,oov2
maxkamlan,VERB,inflectional,1,29,oov2
maxzun,NOUN,root,2,91,oov2
may,NOUN,root,1,1,low
mayda,ADJ,root,3,87,oov2
maydon,NOUN,root,1,9471,high
mayib,ADJ,root,1,44,med
maymoq,ADJ,root,1,1,low
mayoq,NOUN,root,2,60,high
mayor,NOUN,root,1,104,high
maysa,NOUN,root,1,182,high
mazali,ADJ,derivational,4,19,med
mazkur,ADJ,root,2,24228,high
mehmon,NOUN,root,1,966,high
mehnat,NOUN,root,1,89,high
mehnatkash,NOUN,derivational,1,498,high
mehrob,NOUN,root,1,58,high
me'moriy,ADJ,derivational,1,1,low
merosxo'r,NOUN,derivational,2,134,high
merosxo'rlik,NOUN,derivational,1,106,high
metal,NOUN,root,3,343,high
meteorologiya,NOUN,root,2,104,high
meva,NOUN,root,5,260,high
mevasiz,ADJ,inflectional,1,8,med
mezbon,NOUN,root,1,966,high
mezon,NOUN,root,1,1561,high
mijoz,NOUN,root,1,3654,high
mikroorganizm,NOUN,root,1,123,high
millat,NOUN,root,2,292,high
millatchilik,NOUN,derivational,1,32,med
milliy,ADJ,root,1,26162,high
milodiy,NOUN,root,1,123,high
mintaqa,NOUN,root,2,4352,high
miqdor,NOUN,root,1,161,high
miskin,ADJ,root,2,236,high
mislsiz,ADJ,inflectional,1,25,med
mitti,ADJ,root,1,10136,high
mizoj,NOUN,root,2,4,low
mojarochi,NOUN,derivational,2,1,low
mojaroviy,ADJ,derivational,1,1,oov
moliya,NOUN,root,2,4770,high
moliyaviy,ADJ,derivational,1,18470,high
mo'ljallan,VERB,inflectional,1,5,low
momaqaldiroq,NOUN,derivational,1,43,med
momaqaymoq,NOUN,derivational,1,2,low
momiq,NOUN,root,1,98,high
mongol,NOUN,root,1,6,med
morfologiya,NOUN,root,1,39,med
mo'rt,ADJ,root,1,11,med
mo'rtlashtir,VERB,inflectional,1,51,high
morze,NOUN,root,1,48,med
moziy,NOUN,root,1,116,high
mozor,NOUN,root,1,294,high
muallima,NOUN,root,2,195,high
muassasa,NOUN,root,1,12736,high
muazzin,NOUN,root,1,7,med
mubolag'asiz,ADJ,inflectional,1,19,med
muddao,NOUN,root,1,616,high
mudirlik,NOUN,derivational,1,190,high
muhim,ADJ,root,3,23761,high
muhimlik,NOUN,derivational,1,461,high
muhokama,NOUN,root,1,6267,high
muhrla,VERB,derivational,1,152,high
muhrlan,VERB,inflectional,1,12,med
mujassamlash,VERB,inflectional,1,103,oov
mujmal,ADJ,root,2,21,med
mukofotlan,VERB,inflectional,1,344,high
mukofotlangan,VERB,inflectional,1,2015,high
mulk,NOUN,root,1,2799,high
muloqot,NOUN,root,2,4085,high
muloyimlik,NOUN,derivational,1,42,med
mumtoz,ADJ,root,1,334,high
mundarija,NOUN,root,1,165,high
mungli,ADJ,derivational,1,1,low
munozara,NOUN,root,2,6267,high
munozarali,ADJ,derivational,1,3,low
muntazam,ADJ,root,3,5561,high
muolaja,NOUN,root,1,397,high
muomila,NOUN,root,1,48,med
muovin,NOUN,root,2,297,high
muqaddas,ADJ,root,2,2742,high
murabbo,NOUN,root,1,62,high
murakkab,ADJ,root,1,718,high
murakkablashtir,VERB,inflectional,1,24,med
musbat,ADJ,root,2,86,high
mushk,NOUN,root,1,10,med
mushkullashtir,VERB,inflectional,1,10,med
mushohada,NOUN,root,1,382,high
mushoira,NOUN,root,1,100,high
mushtlash,VERB,inflectional,1,2,low
musibatli,ADJ,derivational,1,3,low
musiqa,NOUN,root,3,4641,high
musiqachi,NOUN,derivational,1,293,high
musiqiy asbob,NOUN,derivational,1,1,oov
musodara,NOUN,root,1,154,high
musqia,NOUN,root,1,49,med
musson,NOUN,root,1,4,low
mustahkam,ADJ,root,4,3385,high
mustahkamlan,VERB,inflectional,1,29,med
mustaqil,ADJ,root,5,5754,high
mustaqillik,NOUN,derivational,3,5096,high
mutafakkir,NOUN,root,1,613,high
mutasaddi,NOUN,root,1,1343,high
mutoala,NOUN,root,1,554,oov2
muttahamlik,NOUN,derivational,2,4,low
muttasil,ADJ,root,1,629,oov2
muvofiqlashtir,VERB,inflectional,1,1683,high
muvofiqlashtirish,VERB,inflectional,1,335,oov
muvozanat,NOUN,root,1,775,high
muxolif,NOUN,root,1,107,high
muzey,NOUN,root,2,3351,high
muzlatgich,NOUN,inflectional,1,112,high
nabira,NOUN,root,1,464,high
nabotot,NOUN,root,1,102,high
nafosat,NOUN,root,1,381,high
namuna,NOUN,root,1,1105,high
naqqoshlik,NOUN,derivational,1,241,high
narsa,NOUN,root,2,10032,high
narx,NOUN,root,2,3645,high
nashriyot,NOUN,root,2,5,low
nasl,NOUN,root,1,24,med
natija,NOUN,root,1,5464,high
navqiron,ADJ,root,3,846,high
naxor,NOUN,root,1,1,low
nazoratchi,NOUN,derivational,2,6628,high
neft,NOUN,root,1,876,high
nevara,NOUN,root,1,319,high
nikohsiz,ADJ,inflectional,1,13,med
nimjon,ADJ,derivational,2,33,med
nizolash,VERB,inflectional,1,20,med
nizoli,NOUN,derivational,1,695,high
nizom,NOUN,root,1,1561,high
noaniq,ADJ,derivational,1,21,med
noaniqlik,NOUN,derivational,1,613,high
noasl,NOUN,derivational,1,1,oov
nochorlik,NOUN,derivational,1,46,med
nodon,ADJ,root,1,130,high
noinsof,ADJ,derivational,1,19,med
nola,NOUN,root,1,63,high
nomdor,ADJ,derivational,1,22,med
nomusli,ADJ,derivational,4,6,med
nomussiz,ADJ,inflectional,2,6,med
non,NOUN,root,1,89,high
nopok,ADJ,derivational,2,97,oov2
noqobil,ADJ,derivational,1,22,med
norin,NOUN,root,2,200,high
noshir,NOUN,root,1,236,high
noshirlik,NOUN,derivational,1,181,high
noshukurchilik,NOUN,derivational,1,2,oov
nosog',ADJ,derivational,2,1,low
nosoz,ADJ,derivational,2,86,high
notinch,ADJ,derivational,1,106,high
novda,NOUN,root,3,122,high
novvoyxona,NOUN,derivational,1,89,high
noyob,ADJ,root,3,2102,high
nozik,ADJ,root,4,177,high
nuqson,NOUN,root,1,3418,high
nurlanish,NOUN,inflectional,1,106,high
nuroniy,ADJ,inflectional,3,1804,high
nutq,NOUN,root,1,247,high
obida,NOUN,root,1,1230,high
obligatsiya,NOUN,root,1,276,high
obodonlashtir,VERB,inflectional,3,1859,high
obro',NOUN,root,1,329,high
ochiq,ADJ,root,2,11,med
ochiqlik,NOUN,derivational,1,1,oov
o'choq,NOUN,root,1,843,high
ochtir,VERB,inflectional,2,7,med
odamzod,NOUN,derivational,1,1758,high
odat,NOUN,root,2,403,high
oddiy,ADJ,root,3,19,med
odil,ADJ,root,1,9,med
odimla,VERB,derivational,1,240,high
odmi,ADJ,root,2,19,med
odobli,ADJ,derivational,2,6,med
odobsiz,ADJ,inflectional,2,6,med
og'ir,ADJ,root,3,3120,high
og'irroq,NOUN,root,1,14,low
o'g'rilik,NOUN,derivational,2,104,high
ohangdor,ADJ,derivational,2,13,med
oila,NOUN,root,5,56,high
o'jarlik,NOUN,derivational,1,13,med
ojiza,NOUN,root,2,10,med
okean,NOUN,root,2,555,high
okrug,NOUN,root,1,1524,high
oksid,NOUN,root,1,230,high
oldingi,ADJ,inflectional,2,1432,high
o'ldir,VERB,inflectional,1,21,med
o'lik,ADJ,root,1,173,high
olim,NOUN,root,3,613,high
o'lim,NOUN,root,1,1346,high
olima,NOUN,root,1,242,high
oliy,ADJ,root,1,8499,high
olmos,NOUN,root,2,291,high
olov,NOUN,root,2,1608,high
oltiburchak,NOUN,derivational,2,3,low
oltin,NOUN,root,1,267,high
ona,NOUN,root,1,56,high
o'ng,ADJ,root,1,728,high
o'ng'ay,ADJ,root,1,13,med
opera,NOUN,root,1,532,high
o'q,NOUN,root,1,27,med
o'qish,NOUN,inflectional,1,554,high
o'qituvchi,NOUN,inflectional,1,195,high
oqqush,NOUN,derivational,1,62,high
oqsil,NOUN,root,1,49,med
o'qtal,VERB,inflectional,2,9,med
o'quvchi,NOUN,root,1,14054,high
organ,NOUN,root,1,436,high
organizm,NOUN,root,4,1890,high
o'rgimchak,NOUN,root,1,69,high
o'rik,NOUN,root,2,260,high
o'rinbosar,NOUN,derivational,1,297,high
oriq,ADJ,root,3,19,med
oriyatli,ADJ,derivational,2,1,low
o'rmon,NOUN,root,3,61,high
o'rnashtir,VERB,inflectional,2,7,med
o'rnatilgan,VERB,inflectional,1,3230,high
orombaxsh,ADJ,derivational,1,19,med
orsiz,ADJ,inflectional,1,1,low
o'rtoq,NOUN,root,1,242,high
o'rtoqlik,NOUN,derivational,1,288,high
orttir,VERB,inflectional,1,1095,high
oshno,NOUN,root,1,242,high
o'shqir,VERB,inflectional,1,10,med
oshqovoq,NOUN,derivational,1,53,high
oshqozon,NOUN,derivational,1,436,high
oshxona,NOUN,root,4,843,high
o'simlik,NOUN,derivational,5,3182,high
o'sish,NOUN,inflectional,1,470,high
o'sma,NOUN,root,1,394,high
osmon,NOUN,root,2,1,low
osonlashtir,VERB,inflectional,1,162,high
osonlik,NOUN,derivational,1,1505,high
osoyishta,ADJ,root,2,1840,high
o'spirin,NOUN,root,1,1640,high
ostona,NOUN,root,1,95,high
ot,NOUN,root,1,155,high
o't,NOUN,root,2,2,low
o'tinch,NOUN,root,1,92,high
otish,VERB,root,3,16,low
o'tkir,ADJ,root,2,11,med
o'tmas,ADJ,inflectional,2,11,med
o'tmish,NOUN,derivational,2,1476,high
o'tov,NOUN,root,1,72,high
ovchi,NOUN,derivational,1,188,high
ovoz chiqarish,VERB,inflectional,2,33,med
ovqat,NOUN,root,1,238,high
ovuntir,VERB,inflectional,1,9,med
oxirgi,NOUN,root,1,3175,high
oxu,NOUN,root,1,99,high
oy,NOUN,root,2,375,high
o'yin,NOUN,root,3,1789,high
o'yla,VERB,derivational,1,410,high
o'ymakorlik,NOUN,derivational,2,241,high
oyna,NOUN,root,1,438,high
ozadalik,NOUN,derivational,1,333,high
ozaytir,VERB,inflectional,3,2,low
ozdir,VERB,inflectional,1,1,low
o'zgarmas,ADJ,inflectional,1,19,med
ozgina,ADJ,root,1,1703,high
oziq-ovqat,NOUN,root,1,2589,high
o'zlashtir,VERB,inflectional,1,710,high
ozod,ADJ,root,1,2332,oov2
ozon,NOUN,root,2,260,high
ozuqa,NOUN,root,2,89,high
pahmoq,ADJ,root,1,7,oov2
palov,NOUN,root,1,167,high
parchalanish,NOUN,inflectional,1,98,high
parvardigor,NOUN,root,1,117,high
parvoz,NOUN,root,2,360,high
pasayish,NOUN,inflectional,1,470,high
past,ADJ,root,1,2309,high
pastlash,NOUN,inflectional,2,1337,high
pastlat,VERB,inflectional,1,8,med
paxlavon,ADJ,root,2,11,med
paxmoq,ADJ,root,1,1,low
payraha,NOUN,root,2,1,low
peshin,NOUN,root,1,41,med
peshona,NOUN,root,2,290,high
pichirlash,VERB,inflectional,2,1,low
pichoq,NOUN,root,1,1,low
pilla,NOUN,root,1,51,high
pingvin,NOUN,root,1,49,med
pishir,VERB,inflectional,1,77,high
pishqiriq,NOUN,derivational,1,1,low
pivo,NOUN,root,1,183,high
piyoda,NOUN,root,1,42,med
piyola,NOUN,root,3,175,high
platina,NOUN,root,1,24,med
pog'onali,ADJ,derivational,1,8,med
pokiza,ADJ,root,2,97,high
po'lat,NOUN,root,1,343,high
polis,NOUN,root,1,3233,high
poliz,NOUN,root,1,172,high
poliz ekini,NOUN,inflectional,1,1,low
pomidor,NOUN,root,1,312,high
poydevor,NOUN,root,2,1134,high
poyezd,NOUN,root,3,401,high
poytaxt,NOUN,root,2,6556,high
pul,NOUN,root,3,1535,high
pulla,VERB,derivational,1,269,high
purka,VERB,root,1,4,low
putur,NOUN,root,1,353,high
qabihlik,NOUN,derivational,1,3,low
qabila,NOUN,root,1,169,high
qabriston,NOUN,derivational,1,294,high
qabul qil,VERB,root,2,1622,high
qadah,NOUN,root,2,1,low
qadamjo,NOUN,derivational,1,489,high
qahraton,NOUN,root,1,58,high
qalampir,NOUN,root,1,15,med
qaldirg'och,NOUN,root,1,225,high
qalin,ADJ,root,3,177,high
qalloblik,NOUN,derivational,1,37,med
qaltira,VERB,inflectional,1,1,low
qamoq,NOUN,root,1,222,high
qamsuqum,ADJ,derivational,1,23,med
qand,NOUN,root,1,324,high
qanoatlilik,NOUN,derivational,1,2,oov
qanot,NOUN,root,2,976,high
qanotlari,NOUN,inflectional,1,69,high
qaqshatqich,ADJ,derivational,1,24,med
qarag'ay,NOUN,root,2,53,high
qarag'ayzor,NOUN,derivational,2,1,low
qarat,VERB,root,1,9,med
qarattir,VERB,inflectional,1,1,low
qarilik,NOUN,derivational,2,1640,high
qarish,NOUN,root,1,154,high
qariya,NOUN,root,1,545,high
qarorgoh,NOUN,root,1,405,high
qarshilik,NOUN,derivational,2,427,high
qasr,NOUN,root,2,2214,high
qatag'on,NOUN,root,2,295,high
qatnashchi,NOUN,derivational,1,2654,high
qatnashuvchi,NOUN,derivational,1,8444,high
qatorlashtir,VERB,inflectional,1,6,med
qavm,NOUN,root,1,169,high
qayg'u,NOUN,root,1,371,high
qayg'uli,ADJ,derivational,2,13,med
qayg'ur,VERB,root,2,410,high
qayg'urish,NOUN,inflectional,1,2034,high
qayiq,NOUN,root,1,1,low
qayir,VERB,inflectional,1,5,low
qayishqoq,ADJ,inflectional,1,8,med
qayishtir,VERB,inflectional,1,1,low
qaynoq,NOUN,root,1,266,high
qaysarlik,NOUN,derivational,1,13,med
qazilma,NOUN,derivational,2,263,high
qazishtir,VERB,inflectional,1,2,low
qichqir,VERB,inflectional,1,10,med
qidirish,NOUN,inflectional,2,304,high
qidirtir,VERB,inflectional,1,2,low
qildir,VERB,inflectional,1,244,high
qiltiriq,ADJ,root,3,1,low
qimirlat,VERB,inflectional,1,35,med
qimmatbaxo,ADJ,derivational,1,1155,oov2
qirg'iz,NOUN,root,1,292,high
qirg'oq,NOUN,root,1,373,high
qirol,NOUN,root,1,2214,high
qirollik,NOUN,derivational,1,265,high
qism,NOUN,root,1,2458,high
qismat,NOUN,root,1,310,high
qisqa,ADJ,root,1,830,high
qiyinchilik,NOUN,derivational,1,1505,high
qiyinlashtir,VERB,inflectional,1,162,high
qiymat,NOUN,root,1,371,high
qiyom,NOUN,root,1,62,high
qizartir,VERB,inflectional,1,24,med
qizilo'ngach,NOUN,derivational,1,125,high
qiziqarli,ADJ,derivational,1,161,high
qiziqchi,NOUN,derivational,1,2,oov
qiziqqon,ADJ,derivational,2,1,low
qo'l,NOUN,root,2,628,high
qoldiq,NOUN,derivational,1,359,high
qoldir,VERB,inflectional,2,5392,high
qo'lyozma,NOUN,derivational,3,622,high
qomatdor,ADJ,derivational,1,1,low
qon,NOUN,root,2,935,high
qo'nim,NOUN,root,2,1231,high
qo'nish,VERB,inflectional,3,360,high
qonuniylashtir,VERB,inflectional,1,1309,high
qonunlashtir,VERB,inflectional,1,22,oov
qopcha,NOUN,root,1,13,med
qo'pollash,VERB,inflectional,1,8,med
qopqoq,NOUN,derivational,1,55,high
qor,NOUN,root,1,213,high
qorbobo,NOUN,derivational,1,213,high
qo'riqxona,NOUN,derivational,1,448,high
qorong'ulik,NOUN,derivational,1,576,high
qo'rqinchli,ADJ,derivational,1,24,med
qo'rqit,VERB,inflectional,2,34,med
qo'rqitish,NOUN,inflectional,1,1255,high
qo'rqoq,ADJ,root,4,58,high
qorung'ulik,NOUN,derivational,1,124,high
qo'shiltir,VERB,inflectional,1,5,low
qoshiq,NOUN,root,1,64,high
qo'shiqchi,NOUN,derivational,1,3609,high
qo'shnilik,NOUN,derivational,1,1,low
qo'shtor,NOUN,derivational,1,1,oov
qotillik,NOUN,derivational,1,533,high
qotir,VERB,inflectional,1,359,high
qo'tos,NOUN,root,1,2,low
qovoq,NOUN,root,1,53,high
qo'zg'at,VERB,inflectional,1,360,high
quduq,NOUN,root,1,473,high
qula,VERB,root,1,261,high
qum,NOUN,root,2,81,high
qumursqa,NOUN,root,2,4,low
qurbon,NOUN,root,1,295,high
qurdir,VERB,inflectional,2,17,med
qurg'oqchilik,NOUN,derivational,1,65,high
qurilish,NOUN,root,1,2173,high
qurilma,NOUN,derivational,2,3167,high
qurol,NOUN,root,1,27,med
qurumsoq,ADJ,root,1,219,high
quruq,ADJ,root,3,2378,high
qush,NOUN,root,5,225,high
qutqaruvchi,NOUN,derivational,1,62,high
quvontir,VERB,inflectional,1,4,low
quyi,ADJ,root,1,2309,oov2
quyosh,NOUN,root,1,116,high
quyuq,ADJ,root,1,59,high
quyuqlantir,VERB,inflectional,1,1,oov
radiator,NOUN,root,1,53,high
radiatsiya,NOUN,root,2,106,high
radiotexnika,NOUN,root,1,129,high
rafiqa,NOUN,root,1,224,high
rag'batlantir,VERB,inflectional,2,2974,high
rahbar,NOUN,root,2,4490,high
rahmdil,ADJ,derivational,3,61,high
raketa,NOUN,root,1,675,high
ramazon,NOUN,root,1,375,high
ramz,NOUN,root,1,1425,high
randa,NOUN,root,1,110,high
randala,VERB,derivational,1,2,low
rang,NOUN,root,2,112,high
ra'noguldosh,NOUN,derivational,1,100,high
raqs,NOUN,root,1,1789,high
rasmiylashtir,VERB,inflectional,2,1309,high
rasta,NOUN,root,2,365,high
ravishdosh,NOUN,derivational,1,4,low
razil,ADJ,root,1,37,med
razillik,NOUN,derivational,2,1096,high
reja,NOUN,root,1,2037,high
rejalashtir,VERB,inflectional,1,4633,high
rejali,ADJ,derivational,1,7,med
resurs,NOUN,root,1,6913,high
ring,NOUN,root,1,351,high
rivojlanish,NOUN,inflectional,2,8787,high
rivojlantir,VERB,inflectional,2,3641,high
rohatbaxsh,ADJ,derivational,1,12,med
rohiba,NOUN,root,1,5,low
rostlan,VERB,inflectional,1,39,med
ro'za,NOUN,root,1,247,high
rozilik,NOUN,derivational,1,673,high
ruhlantir,VERB,inflectional,3,223,high
rusum,NOUN,root,1,1165,high
rux,NOUN,root,1,201,high
ruxiyat,NOUN,derivational,1,1758,high
ruxsat,NOUN,root,1,232,high
ruxsatsiz,ADJ,inflectional,1,12,med
sabrli,ADJ,derivational,2,1,low
sabrsiz,ADJ,inflectional,4,1,low
sabzavot,NOUN,root,1,213,high
sabzi,NOUN,root,1,238,high
sabzovot,NOUN,root,2,312,high
sado,NOUN,root,2,675,high
sadoqatli,ADJ,derivational,3,19,med
safardosh,NOUN,derivational,1,3,oov
saffoflik,NOUN,derivational,1,1,oov
saflan,VERB,inflectional,1,11,med
sag'ana,NOUN,root,1,627,high
sahna,NOUN,root,2,3372,high
sahro,NOUN,root,1,1134,high
salbiy,ADJ,derivational,2,2278,high
salobatli,ADJ,derivational,1,1,low
salomat,ADJ,root,2,12,med
samarador,ADJ,derivational,1,87,high
samolyot,NOUN,root,3,976,high
samoviy,ADJ,derivational,2,123,oov2
san'at,NOUN,root,1,152,high
san'atkor,NOUN,derivational,1,293,high
sanchiq,NOUN,root,1,30,med
sanoat,NOUN,root,1,1134,high
santimetr,NOUN,root,1,226,high
saraton,NOUN,root,2,394,high
sarflan,VERB,inflectional,1,17,oov
sarhad,NOUN,root,3,311,high
sariq,ADJ,root,1,31,med
sarmoya,NOUN,root,2,1535,high
saroy,NOUN,root,4,2214,high
sarpo,NOUN,root,1,30,med
savdo,NOUN,root,3,3901,high
saviya,NOUN,root,1,2205,high
saxiy,ADJ,root,4,85,high
saxovat,NOUN,root,1,1193,high
saxovatli,ADJ,derivational,1,10,med
saxro,NOUN,root,2,224,oov2
sayohat,NOUN,root,2,1175,high
sayohatchi,NOUN,derivational,2,1231,high
sayqalla,VERB,derivational,1,19,med
sayyod,NOUN,root,2,188,high
sayyoh,NOUN,root,2,1231,high
sayyora,NOUN,root,3,989,high
sehrgar,NOUN,derivational,1,1,low
sehrli,ADJ,derivational,1,9,med
sekinlash,VERB,inflectional,2,5,low
sekinlashtir,VERB,inflectional,3,51,high
sekinlat,VERB,inflectional,1,9,med
semirtir,VERB,inflectional,1,1,low
semiz,ADJ,root,4,19,med
sep,VERB,root,1,4,low
sepish,VERB,inflectional,1,37,med
sergaklan,VERB,inflectional,2,1,low
sergaklik,NOUN,derivational,1,37,med
sergap,ADJ,derivational,2,9,med
serhasham,ADJ,derivational,1,9,med
serhosil,ADJ,derivational,1,74,high
serjant,NOUN,root,1,371,high
sernam,ADJ,derivational,1,7,med
serqatnov,ADJ,derivational,1,54,high
sershira,NOUN,derivational,1,1,low
sershovqin,ADJ,derivational,1,13,med
sertashvish,ADJ,derivational,1,13,med
serunum,ADJ,derivational,1,23,med
serxarxasha,NOUN,derivational,1,1,oov
serzavq,ADJ,derivational,1,12,med
seskantir,VERB,inflectional,1,2,low
sevikli,ADJ,derivational,1,41,med
sevimli,ADJ,derivational,1,1692,oov2
sezdir,VERB,inflectional,1,8,med
sezgi,NOUN,derivational,1,268,high
sezish,VERB,inflectional,3,168,high
shafaq,NOUN,root,1,130,high
shafaqrang,NOUN,derivational,1,1,oov
shaffof,ADJ,root,2,85,high
shafqatsiz,ADJ,inflectional,2,104,high
shaftoli,NOUN,root,2,138,high
shag'al,NOUN,root,1,81,high
shajara,NOUN,root,1,81,high
shakl,NOUN,root,2,3,low
shakllantir,VERB,inflectional,1,7187,high
shamol,NOUN,root,1,4,low
sharmsiz,ADJ,inflectional,2,8,med
sharmsizlik,NOUN,inflectional,1,4,oov
sharob,NOUN,root,1,1,low
shartnoma,NOUN,derivational,2,7783,high
shashka,NOUN,root,2,256,high
shashmaqom,NOUN,derivational,1,148,high
shaxdam,ADJ,root,1,8,med
shaxsiy,ADJ,derivational,1,7618,high
shaxzoda,NOUN,root,1,2,oov
she'riyat,NOUN,derivational,1,100,high
shiddatli,ADJ,derivational,1,11,med
shifohona,NOUN,root,1,1304,oov2
shifoxona,NOUN,derivational,1,466,high
shijoatli,ADJ,derivational,2,8,med
shikastlantir,VERB,inflectional,1,8,med
shilqimlik,NOUN,derivational,1,1,low
shim,NOUN,root,1,391,high
shimol,NOUN,root,1,14,med
shirin,ADJ,root,4,19,med
shisha,NOUN,root,2,464,high
shivirlash,VERB,inflectional,1,1,low
shodlik,NOUN,derivational,2,371,high
shohona,ADJ,derivational,1,46,med
shubhalan,VERB,inflectional,1,6,med
shubhasiz,ADJ,inflectional,1,19,med
shudgorlan,VERB,inflectional,1,19,med
sichqon,NOUN,root,2,390,high
signal,NOUN,root,1,126,high
silsila,NOUN,root,1,157,high
sindirish,VERB,inflectional,2,31,med
sinfdosh,NOUN,derivational,1,351,high
sirdosh,NOUN,derivational,1,80,high
sirtqi,NOUN,root,1,241,high
sitam,NOUN,root,1,1,low
sitrus meva,NOUN,root,2,51,high
siyosat,NOUN,root,1,107,high
siyrak,ADJ,root,2,65,high
sobiq,ADJ,root,2,1818,oov2
sodda,ADJ,root,3,718,high
sog'lik,NOUN,derivational,2,1262,high
sog'lom,ADJ,root,2,1,low
soha,NOUN,root,1,31050,high
so'kinish,NOUN,inflectional,1,8,med
so'lg'inlik,NOUN,derivational,1,1,low
so'm,NOUN,root,1,1606,high
son,NOUN,root,2,418,high
soniya,NOUN,root,1,568,high
so'qir,NOUN,root,1,18,med
so'qqaboshlik,NOUN,derivational,1,1,oov
so'roq,NOUN,derivational,1,19,low
so'rov,NOUN,derivational,1,1466,high
sotish,VERB,inflectional,1,269,high
sotqinlik,NOUN,derivational,1,3,oov
sottirdi,VERB,inflectional,1,1,low
sovg'a,NOUN,root,1,555,high
sovitish,NOUN,inflectional,1,387,high
sovuq,ADJ,root,3,1030,high
sovuqlik,NOUN,derivational,1,1089,high
sovutgich,NOUN,inflectional,2,112,high
soxil,NOUN,root,2,373,oov2
soxta,NOUN,root,1,1,oov
soz,ADJ,root,2,86,high
so'z turkumi,NOUN,inflectional,1,4,low
so'zlash,VERB,inflectional,2,1234,high
so'zlashtir,VERB,inflectional,1,1,low
so'zlashuv,NOUN,inflectional,1,48,med
so'zlattir,VERB,inflectional,1,17,med
